acousticness,artist_id,artist_names,danceability,duration_ms,energy,explicit,genre,instrumentalness,key,liveness,loudness,mode,popularity,release_date,song_title (censored),speechiness,tempo,valence,year
0.507,496525,['Moondog'],0.542,110200,0.378,0,Avant-Garde,0.762,6,0.109,-18.753,1,12,1956,Big Cat,0.0567,93.619,0.609,1956
0.41,496525,['Moondog'],0.657,50773,0.373,0,Avant-Garde,1.23E-06,0,0.802,-18.445,1,11,1956,Dance Rehearsal,0.351,55.808,0.975,1956
0.0677,496525,['Moondog'],0.653,76667,0.988,0,Avant-Garde,2.39E-05,8,0.18,-17.74,1,10,1956,Tap Dance,0.0786,104.68,0.284,1956
0.0996,496525,['Moondog'],0.446,217667,0.525,0,Avant-Garde,0.0652,6,0.278,-18.86,1,9,1956,Street Scene,0.485,172.733,0.193,1956
0.474,496525,['Moondog'],0.512,137707,0.624,0,Avant-Garde,0.908,6,0.0977,-20.64,0,9,1956,**** Suite,0.0684,102.791,0.581,1956
0.0762,496525,['Moondog'],0.862,90760,0.786,0,Avant-Garde,0.102,9,0.0784,-16.177,0,22,1956,Caribea,0.0327,101.475,0.971,1956
0.99,496525,['Moondog'],0.608,103000,0.097,0,Avant-Garde,0.904,2,0.117,-22.651,1,21,1956,To A Sea Horse,0.0759,119.808,0.471,1956
0.77,496525,['Moondog'],0.74,49667,0.393,0,Avant-Garde,0.326,5,0.0974,-21.38,0,18,1956,Trees ******* The Sky,0.0554,101.613,0.96,1956
0.057,496525,['Moondog'],0.699,123373,0.799,0,Avant-Garde,0.00125,11,0.0203,-14.407,0,17,1956,"Death, When You Come To Me",0.0551,115.234,0.86,1956
0.879,496525,['Moondog'],0.377,135133,0.562,0,Avant-Garde,0.11,7,0.668,-13.396,0,18,1956,Tree Trail,0.335,80.878,0.56,1956
0.693,496525,['Moondog'],0.306,415533,0.921,0,Avant-Garde,0.623,5,0.152,-10.498,1,16,1956,Surf Session,0.502,84.051,0.613,1956
0.317,496525,['Moondog'],0.633,133640,0.637,0,Avant-Garde,0.12,8,0.377,-14.892,1,13,1956,Lullaby,0.0883,178.743,0.893,1956
0.705,496525,['Moondog'],0.356,129200,0.623,0,Avant-Garde,0.00163,9,0.186,-13.764,0,12,1956,Frog Bog,0.289,180.378,0.963,1956
0.00172,496525,['Moondog'],0.394,67533,0.944,0,Avant-Garde,0.926,8,0.0396,-14.026,1,13,1956,Oo Debut,0.0595,135.25,0.785,1956
0.927,467749,['Peggy Lee'],0.512,199253,0.0507,0,Avant-Garde,0,8,0.0835,-15.687,0,13,1/1/1956,When The World Was Young,0.0498,117.839,0.309,1956
0.845,467749,['Peggy Lee'],0.52,186333,0.182,0,Avant-Garde,1.87E-06,8,0.266,-11.472,1,40,1/1/1956,Black ****** - Single Version,0.0423,130.331,0.186,1956
0.559,467749,['Peggy Lee'],0.718,148893,0.385,0,Avant-Garde,0,7,0.0938,-7.999,1,31,1/1/1956,I've Got You Under My Skin - Single Version,0.0596,94.147,0.64,1956
0.788,467749,['Peggy Lee'],0.615,128293,0.353,0,Avant-Garde,0,0,0.0543,-7.936,0,27,1/1/1956,Love Me Or Leave Me,0.0442,135.731,0.626,1956
0.857,467749,['Peggy Lee'],0.485,202240,0.188,0,Avant-Garde,7.23E-06,8,0.149,-16.533,1,21,1/1/1956,Gee Baby (Ain't I Good To You),0.0541,65.468,0.308,1956
0.331,467749,['Peggy Lee'],0.562,127547,0.562,0,Avant-Garde,0,7,0.113,-6.6,1,17,1/1/1956,My Heart Belongs To Daddy - Single Version,0.0425,127.913,0.712,1956
0.857,467749,['Peggy Lee'],0.411,168040,0.204,0,Avant-Garde,0,0,0.11,-15.719,1,16,1/1/1956,There's A Small Hotel,0.0511,77.183,0.233,1956
0.873,467749,['Peggy Lee'],0.496,203093,0.205,0,Avant-Garde,0,7,0.137,-13.337,1,17,1/1/1956,It Ain't Necessarily So,0.0421,134.116,0.135,1956
0.907,467749,['Peggy Lee'],0.43,193120,0.0863,0,Avant-Garde,0,5,0.127,-17.913,1,15,1/1/1956,A Woman Alone With The *****,0.046,104.132,0.136,1956
0.929,467749,['Peggy Lee'],0.408,163427,0.131,0,Avant-Garde,0,10,0.0977,-14.194,0,15,1/1/1956,Easy Living,0.0386,123.754,0.258,1956
0.789,467749,['Peggy Lee'],0.598,137280,0.173,0,Avant-Garde,0,1,0.194,-12.829,1,14,1/1/1956,I Didn't Know What Time It Was,0.055,76.729,0.447,1956
0.92,467749,['Peggy Lee'],0.37,203133,0.0489,0,Avant-Garde,6.55E-06,1,0.139,-20.368,1,15,1/1/1956,You're My Thrill,0.0453,105.928,0.112,1956
0.765,496525,['Moondog'],0.437,136560,0.499,0,Avant-Garde,0.848,2,0.13,-13.2,1,31,1/1/1969,Stamping Ground - ************,0.0335,94.084,0.643,1969
0.964,496525,['Moondog'],0.539,179720,0.562,0,Avant-Garde,0.825,7,0.13,-14.867,1,29,1/1/1969,Theme - ************,0.0459,102.234,0.825,1969
0.885,496525,['Moondog'],0.586,169947,0.395,0,Avant-Garde,0.938,4,0.0876,-13.545,0,24,1/1/1969,Symphonique #6 (Good For Goodie) - ************,0.0553,103.749,0.869,1969
0.452,496525,['Moondog'],0.292,393853,0.418,0,Avant-Garde,0.17,0,0.144,-14.295,1,23,1/1/1969,Witch of Endor - ************,0.0352,103.624,0.182,1969
0.857,496525,['Moondog'],0.373,359960,0.31,0,Avant-Garde,0.337,10,0.104,-15.666,1,23,1/1/1969,Minisym ** - ************,0.0555,109.021,0.207,1969
0.767,496525,['Moondog'],0.634,106667,0.528,0,Avant-Garde,0.933,7,0.0935,-13.753,1,37,1/1/1969,"Lament I, ""Bird's Lament"" - ************",0.0397,121.548,0.714,1969
0.886,467749,['Peggy Lee'],0.761,187867,0.124,0,Avant-Garde,0.505,2,0.0857,-21.096,0,26,1/1/1969,Me And My Shadow,0.0757,94.022,0.696,1969
0.863,467749,['Peggy Lee'],0.458,262000,0.0899,0,Avant-Garde,0,10,0.137,-18.824,1,51,1/1/1969,Is That All There Is?,0.0362,109.574,0.386,1969
0.874,750519,['Terry Riley'],0.0935,1298000,0.197,0,Avant-Garde,0.929,7,0.124,-17.291,1,23,1969,Poppy Nogood and the Phantom Band - ************,0.0416,87.855,0.0339,1969
0.672,750519,['Terry Riley'],0.197,1119333,0.422,0,Avant-Garde,0.58,2,0.128,-17.453,1,33,1969,A Rainbow in the Curved Air - ************,0.0505,172.806,0.131,1969
0.763,496525,['Moondog'],0.594,123893,0.291,0,Avant-Garde,0.879,2,0.106,-11.158,1,51,11/28/1997,Bird's Lament,0.0429,63.384,0.0979,1997
0.109,3214680,['Boyzone'],0.768,206040,0.919,0,Avant-Garde,1.14E-06,0,0.366,-6.066,1,65,1/1/1997,Picture Of You,0.0416,116.649,0.862,1997
0.932,467749,['Peggy Lee'],0.433,144573,0.186,0,Avant-Garde,0,7,0.198,-16.458,1,38,1/1/1997,"What a ******** a **** - From ""Lady and the ***************** Version",0.0359,44.316,0.264,1997
0.801,467749,['Peggy Lee'],0.707,149227,0.251,0,Avant-Garde,0,2,0.105,-10.74,0,47,1/1/1997,Why Don't You Do Right (Get Me **** Money Too),0.0378,124.081,0.652,1997
