acousticness,artist_id,artist_names,danceability,duration_ms,energy,explicit,genre,instrumentalness,key,liveness,loudness,mode,popularity,release_date,song_title (censored),speechiness,tempo,valence,year
0.502,276085,"[""Howlin' Wolf""]",0.692,156733,0.605,0,Blues,0.000637,2,0.114,-10.439,0,24,1/11/1966,Poor Boy,0.0869,82.966,0.842,1966
0.912,276085,"[""Howlin' Wolf""]",0.439,133907,0.337,0,Blues,0.00852,5,0.224,-12.681,1,20,1/11/1966,The Natchez Burnin',0.0548,180.211,0.7,1966
0.599,276085,"[""Howlin' Wolf""]",0.37,155133,0.532,0,Blues,0,0,0.154,-12.159,1,20,1/11/1966,My Country Sugar Mama,0.0319,138.102,0.526,1966
0.094,276085,"[""Howlin' Wolf""]",0.576,168107,0.443,0,Blues,0,0,0.197,-10.625,1,18,1/11/1966,Tell Me What I've Done,0.0282,111.162,0.756,1966
0.213,276085,"[""Howlin' Wolf""]",0.662,161160,0.6,0,Blues,8.76E-05,2,0.0994,-9.33,1,18,1/11/1966,Ooh Baby (Hold Me),0.0361,120.448,0.801,1966
0.379,276085,"[""Howlin' Wolf""]",0.721,172827,0.62,0,Blues,4.31E-05,9,0.344,-9.775,1,42,1/11/1966,******* Floor,0.0326,118.696,0.644,1966
0.538,276085,"[""Howlin' Wolf""]",0.676,186733,0.511,0,Blues,0,0,0.0574,-8.522,1,33,1/11/1966,***** Hundred Pounds Of Joy,0.0396,148.565,0.964,1966
0.386,276085,"[""Howlin' Wolf""]",0.498,159400,0.491,0,Blues,0,2,0.0766,-9.612,1,31,1/11/1966,Built For Comfort,0.032,132.647,0.822,1966
0.648,276085,"[""Howlin' Wolf""]",0.392,179400,0.471,0,Blues,0,7,0.0703,-9.186,1,29,1/11/1966,Tail Dragger,0.0492,187.356,0.638,1966
0.309,276085,"[""Howlin' Wolf""]",0.708,155360,0.529,0,Blues,0.0174,5,0.336,-11.821,1,29,1/11/1966,Sitting On Top Of The World,0.0681,109.183,0.62,1966
0.432,276085,"[""Howlin' Wolf""]",0.425,165907,0.561,0,Blues,0.000529,4,0.296,-10.587,0,28,1/11/1966,Louise,0.0315,132.807,0.763,1966
0.676,276085,"[""Howlin' Wolf""]",0.685,165067,0.461,0,Blues,0.0181,2,0.131,-11.227,1,26,1/11/1966,Nature,0.0407,135.418,0.647,1966
0.908,60679,['Big Joe Williams'],0.677,156933,0.261,0,Blues,0.00221,8,0.0633,-14.846,1,18,1966,Rollin' And Tumblin',0.0579,122.699,0.672,1966
0.0495,762288,['Big Mama Thornton'],0.471,305893,0.566,0,Blues,0.047,7,0.116,-5.987,1,24,1/1/1966,Everything Gonna Be Alright,0.0342,94.018,0.564,1966
0.421,762288,['Big Mama Thornton'],0.461,229320,0.318,0,Blues,0.0034,4,0.126,-5.925,0,20,1/1/1966,********* I Have a Heartache,0.0354,171.616,0.368,1966
0.0257,762288,['Big Mama Thornton'],0.372,181587,0.667,0,Blues,0.0871,4,0.158,-2.899,0,29,1/1/1966,I'm Feeling Alright,0.0312,156.763,0.822,1966
0.58,815039,['John Lee Hooker'],0.699,233267,0.481,0,Blues,3.29E-06,2,0.184,-15.154,0,23,1/1/1966,"You Know, I Know",0.054,117.957,0.892,1966
0.885,815039,['John Lee Hooker'],0.439,319040,0.0378,0,Blues,0.000225,5,0.196,-27.058,1,23,1/1/1966,The Waterfront,0.0662,146.297,0.212,1966
0.677,815039,['John Lee Hooker'],0.767,184507,0.43,0,Blues,3.24E-05,0,0.0725,-14.948,1,23,1/1/1966,Stella Mae,0.0801,114.958,0.874,1966
0.494,815039,['John Lee Hooker'],0.746,184960,0.56,0,Blues,0,5,0.316,-14.789,1,54,1/1/1966,"One Bourbon, One Scotch, One Beer",0.0565,124.68,0.854,1966
0.507,815039,['John Lee Hooker'],0.601,167360,0.19,0,Blues,5.49E-05,5,0.18,-18.675,1,49,1/1/1966,I'm In The Mood - Single Version,0.061,202.294,0.656,1966
0.507,815039,['John Lee Hooker'],0.51,414600,0.542,0,Blues,2.55E-06,7,0.118,-15.503,1,31,1/1/1966,Let's Go Out ******* - Single Version,0.0749,175.093,0.856,1966
0.349,815039,['John Lee Hooker'],0.747,308000,0.15,0,Blues,0.061,2,0.11,-21.779,1,30,1/1/1966,It Serves You Right To Suffer,0.0634,84.588,0.487,1966
