acousticness,artist_id,artist_names,danceability,duration_ms,energy,explicit,genre,instrumentalness,key,liveness,loudness,mode,popularity,release_date,song_title (censored),speechiness,tempo,valence,year
0.743,744969,['Alvin & the Chipmunks'],0.8,114253,0.535,0,Children's,0.101,1,0.119,-8.297,1,11,1/1/1961,***** Blind (Folded) Mice,0.215,98.716,0.556,1961
0.699,744969,['Alvin & the Chipmunks'],0.677,108947,0.709,0,Children's,0.0035,0,0.104,-6.312,1,11,1/1/1961,Whistle While You Work,0.0509,176.507,0.964,1961
0.673,744969,['Alvin & the Chipmunks'],0.648,119000,0.211,0,Children's,4.60E-05,3,0.429,-11.433,1,11,1/1/1961,The Little ***,0.0444,122.597,0.521,1961
0.735,744969,['Alvin & the Chipmunks'],0.851,132400,0.486,0,Children's,6.74E-06,0,0.313,-6.466,1,11,1/1/1961,If You Love Me (Alouette),0.118,113.32,0.633,1961
0.763,744969,['Alvin & the Chipmunks'],0.52,69507,0.265,0,Children's,4.59E-05,0,0.194,-6.885,1,10,1/1/1961,Good Morning Song,0.0311,99.264,0.513,1961
0.768,744969,['Alvin & the Chipmunks'],0.635,141907,0.468,0,Children's,0.00134,3,0.576,-7.175,1,31,1/1/1961,The Chipmunk Song (Christmas Don't Be Late) - Remastered ****,0.0417,149.64,0.695,1961
0.762,744969,['Alvin & the Chipmunks'],0.716,128893,0.536,0,Children's,0.0275,5,0.256,-6.427,1,27,1/1/1961,Ragtime ****** Joe,0.137,123.943,0.752,1961
0.839,744969,['Alvin & the Chipmunks'],0.832,115440,0.544,0,Children's,3.97E-06,9,0.158,-5.84,0,19,1/1/1961,Old MacDonald Cha Cha Cha,0.233,132.056,0.741,1961
0.791,744969,['Alvin & the Chipmunks'],0.73,118093,0.721,0,Children's,6.27E-05,5,0.178,-4.301,1,17,1/1/1961,Yankee Doodle,0.0962,114.963,0.838,1961
0.506,744969,['Alvin & the Chipmunks'],0.532,162973,0.522,0,Children's,0.167,8,0.215,-7.395,1,14,1/1/1961,Alvin's Harmonica,0.0479,117.878,0.764,1961
0.775,744969,['Alvin & the Chipmunks'],0.878,80373,0.399,0,Children's,2.18E-05,3,0.0761,-6.87,1,13,1/1/1961,Pop Goes The Weasel,0.161,108.422,0.786,1961
0.764,744969,['Alvin & the Chipmunks'],0.682,115453,0.242,0,Children's,1.46E-06,5,0.376,-7.992,1,13,1/1/1961,Chipmunk Fun,0.136,145.624,0.884,1961
0.842,744969,['Alvin & the Chipmunks'],0.756,157460,0.565,0,Children's,2.02E-05,5,0.0672,-8.301,1,12,1/1/1962,Jingle Bells,0.0265,93.817,0.968,1962
0.644,744969,['Alvin & the Chipmunks'],0.728,93879,0.498,0,Children's,0.0133,0,0.0869,-6.973,1,11,1/1/1962,Up On The House-Top,0.0456,176.463,0.962,1962
0.78,744969,['Alvin & the Chipmunks'],0.49,105717,0.604,0,Children's,0,3,0.471,-8.136,1,10,1/1/1962,Here Comes Santa Claus (Right Down Santa Claus Lane),0.037,178.366,0.864,1962
0.785,744969,['Alvin & the Chipmunks'],0.667,151265,0.479,0,Children's,9.12E-05,10,0.872,-7.088,1,9,1/1/1962,"Rudolph, The Red-Nosed Reindeer",0.0535,67.587,0.741,1962
0.767,744969,['Alvin & the Chipmunks'],0.74,106865,0.473,0,Children's,0,0,0.324,-7.821,1,9,1/1/1962,Santa Claus Is Comin' To Town,0.0333,87.511,0.876,1962
0.785,744969,['Alvin & the Chipmunks'],0.673,107633,0.351,0,Children's,0.000105,8,0.0669,-9.201,1,9,1/1/1962,It's Beginning To Look A Lot Like Christmas,0.0368,105.967,0.595,1962
0.819,744969,['Alvin & the Chipmunks'],0.545,121229,0.467,0,Children's,0.00123,7,0.421,-8.231,1,9,1/1/1962,Frosty The Snowman,0.0284,169.095,0.963,1962
0.806,744969,['Alvin & the Chipmunks'],0.339,154108,0.313,0,Children's,0.136,0,0.0477,-8.458,1,8,1/1/1962,White Christmas,0.0299,89.724,0.171,1962
0.756,744969,['Alvin & the Chipmunks'],0.774,118533,0.619,0,Children's,0.00407,7,0.384,-7.185,1,8,1/1/1962,Over The River And Through The Woods,0.0428,109.049,0.961,1962
0.789,744969,['Alvin & the Chipmunks'],0.567,140225,0.596,0,Children's,9.02E-06,8,0.495,-5.716,1,8,1/1/1962,The Chipmunk Song (Christmas Don't Be Late),0.0409,152.312,0.759,1962
0.579,744969,['Alvin & the Chipmunks'],0.512,152853,0.53,0,Children's,0.000219,7,0.22,-5.793,1,9,1/1/1962,The Band Played On,0.263,180.88,0.701,1962
0.861,744969,['Alvin & the Chipmunks'],0.633,126387,0.399,0,Children's,0.000102,2,0.885,-7.662,1,9,1/1/1960,Stuck In Arabia,0.283,140.367,0.699,1960
0.558,744969,['Alvin & the Chipmunks'],0.704,114213,0.624,0,Children's,0.0118,5,0.0815,-7.561,1,8,1/1/1960,Working On The Railroad,0.0407,118.106,0.947,1960
0.652,744969,['Alvin & the Chipmunks'],0.811,52733,0.559,0,Children's,0.0281,10,0.18,-8.176,1,7,1/1/1960,Sing ***** With The Chipmunks,0.0496,129.045,0.925,1960
0.725,744969,['Alvin & the Chipmunks'],0.529,168307,0.432,0,Children's,7.01E-05,3,0.225,-9.724,1,7,1/1/1960,I Wish I Could Speak French,0.0383,148.851,0.591,1960
0.788,744969,['Alvin & the Chipmunks'],0.559,211600,0.499,0,Children's,0.00023,5,0.937,-9.14,0,7,1/1/1960,Oh Gondaliero,0.178,121.44,0.62,1960
0.713,744969,['Alvin & the Chipmunks'],0.835,121720,0.652,0,Children's,2.13E-05,9,0.0444,-7.736,1,30,1/1/1960,Witch Doctor - Remastered ****,0.0776,131.124,0.972,1960
0.831,744969,['Alvin & the Chipmunks'],0.708,149053,0.441,0,Children's,0.0166,0,0.329,-8.928,0,14,1/1/1960,******** Banana,0.147,118.538,0.593,1960
