acousticness,artist_id,artist_names,danceability,duration_ms,energy,explicit,genre,instrumentalness,key,liveness,loudness,mode,popularity,release_date,song_title (censored),speechiness,tempo,valence,year
0.947,26350,['Wolfgang Amadeus Mozart'],0.25,581013,0.181,0,Classical,0.0776,4,0.274,-17.617,1,0,1935,"Mozart: Violin Concerto No. 5 in A Major, K. *** ""Turkish"": II. Adagio",0.0436,132.546,0.141,1935
0.969,26350,['Wolfgang Amadeus Mozart'],0.249,266400,0.0862,0,Classical,0.385,8,0.18,-20.471,1,0,1935,"Mozart: Horn Concerto No. 3 in E-Flat Major, K. 447: II. Romance. Larghetto",0.0366,72.751,0.209,1935
0.965,26350,['Wolfgang Amadeus Mozart'],0.445,506867,0.176,0,Classical,0.0529,9,0.069,-15.448,1,0,1935,"Mozart: Violin Concerto No. 5 in A Major, K. *** ""Turkish"": III. Rondeau. Tempo di menuetto",0.0477,128.271,0.427,1935
0.534,26350,['Wolfgang Amadeus Mozart'],0.387,135213,0.0994,0,Classical,0.352,2,0.166,-14.32,1,0,1935,"Mozart: Eine kleine Nachtmusik, K. **** III. Menuetto (Allegretto) - Trio",0.0455,123.341,0.584,1935
0.925,26350,['Wolfgang Amadeus Mozart'],0.258,266733,0.282,0,Classical,0.497,7,0.387,-11.573,1,0,1935,"Mozart: Die Entführung aus dem Serail, K. 384: Overture to Act *",0.0598,79.62,0.211,1935
0.658,26350,['Wolfgang Amadeus Mozart'],0.25,280440,0.11,0,Classical,0.116,0,0.1,-18.099,1,0,1935,"Mozart: Eine kleine Nachtmusik, K. **** II. Romance (Andante)",0.049,68.302,0.231,1935
0.994,26350,['Wolfgang Amadeus Mozart'],0.519,122984,0.0541,0,Classical,0.966,3,0.105,-26.051,1,0,1/1/1935,Minuetto,0.0544,179.834,0.552,1935
0.932,26350,['Wolfgang Amadeus Mozart'],0.354,246720,0.311,0,Classical,0.884,2,0.366,-10.657,1,0,1935,"Mozart: Le nozze di Figaro, K. **** Overture",0.0379,75.151,0.327,1935
0.973,26350,['Wolfgang Amadeus Mozart'],0.368,200427,0.238,0,Classical,0.829,3,0.123,-18.904,1,0,1935,"Mozart: Horn Concerto No. 3 in E-Flat Major, K. 447: III. Allegro",0.0424,139.685,0.69,1935
0.948,26350,['Wolfgang Amadeus Mozart'],0.42,79505,0.177,0,Classical,0.491,9,0.169,-14.224,1,0,1935,"Mozart: Violin Concerto No. 5 in A Major, K. *** ""Turkish"": I. Allegro aperto",0.0406,132.853,0.423,1935
0.894,26350,['Wolfgang Amadeus Mozart'],0.487,260280,0.2,0,Classical,0.728,7,0.118,-15.8,1,0,1935,"Mozart: Eine kleine Nachtmusik, K. **** I. Allegro",0.0423,131.95,0.402,1935
0.88,26350,['Wolfgang Amadeus Mozart'],0.502,179907,0.27,0,Classical,0.733,7,0.376,-14.174,1,0,1935,"Mozart: Eine kleine Nachtmusik, K. **** IV. Rondo (Allegro)",0.0403,118.636,0.705,1935
0.978,26350,['Wolfgang Amadeus Mozart'],0.356,254411,0.291,0,Classical,0.00399,10,0.112,-11.032,1,0,1/1/1935,"Don Giovanni, K. **** Folget der Heißgeliebten - Sung in German",0.0362,106.375,0.618,1935
0.975,26350,['Wolfgang Amadeus Mozart'],0.34,403427,0.157,0,Classical,0.212,3,0.331,-17.465,1,0,1935,"Mozart: Horn Concerto No. 3 in E-Flat Major, K. 447: I. Allegro",0.0426,129.21,0.232,1935
0.923,239859,['Leonard Bernstein'],0.214,611693,0.156,0,Classical,0.113,0,0.371,-19.436,1,0,1935,"Violin Concerto, Op. *** I. Allegro",0.0441,99.276,0.0767,1935
0.879,239859,['Leonard Bernstein'],0.362,235293,0.426,0,Classical,0.704,5,0.132,-19.731,1,0,1935,"Violin Concerto, Op. *** III. Presto in moto perpetuo",0.0405,90.319,0.566,1935
0.944,239859,['Leonard Bernstein'],0.105,507293,0.123,0,Classical,0.551,4,0.0946,-20.965,1,0,1935,"Violin Concerto, Op. *** II. Andante",0.0443,86.619,0.0382,1935
0.91,239859,['Leonard Bernstein'],0.156,594973,0.0894,0,Classical,0.896,10,0.0902,-19.96,0,1,1935,"Adagio for Strings, Op. **",0.0457,107.871,0.0292,1935
0.433,1528006,['Olivier Messiaen'],0.149,475312,0.00537,0,Classical,0.923,4,0.108,-27.73,1,0,1935,La Nativité du Seigneur: Desseins éternels,0.0415,135.06,0.029,1935
0.99,26350,['Wolfgang Amadeus Mozart'],0.383,167440,0.132,0,Classical,0.00787,10,0.542,-20.337,1,0,1/1/1942,"Don Giovanni, K. *** (Excerpts): Là ci darem la mano",0.0693,109.379,0.237,1942
0.993,26350,['Wolfgang Amadeus Mozart'],0.293,228640,0.0297,0,Classical,0.000254,5,0.0919,-26.782,1,0,1/1/1942,"Le nozze di Figaro, K. *** (Excerpts Sung in German): O säume länger nicht",0.047,102.613,0.194,1942
0.99,26350,['Wolfgang Amadeus Mozart'],0.381,389200,0.103,0,Classical,0.0299,0,0.247,-20.278,1,0,1/1/1942,"Le nozze di Figaro, K. *** (Excerpts): E Susanna non vien! - Dove sono i bei momenti",0.0684,85.754,0.142,1942
0.99,26350,['Wolfgang Amadeus Mozart'],0.408,558613,0.182,0,Classical,0.861,9,0.0734,-14.076,1,0,1942,"Clarinet Concerto in A Major, K. **** III. Rondo. Allegro",0.038,116.05,0.51,1942
0.977,26350,['Wolfgang Amadeus Mozart'],0.447,214672,0.397,0,Classical,0.919,7,0.519,-11.991,1,0,8/22/1942,"Symphony No. 34 In C, KV 338: III. Finale",0.0337,87.018,0.528,1942
0.993,26350,['Wolfgang Amadeus Mozart'],0.313,225000,0.21,0,Classical,0.276,4,0.345,-22.787,0,0,1/1/1942,"Die Zauberflöte, K. *** (Excerpts): In diesen heil'gen Hallen",0.0544,64.853,0.374,1942
0.988,26350,['Wolfgang Amadeus Mozart'],0.596,48160,0.101,0,Classical,0.000148,1,0.256,-22.769,1,0,1/1/1942,"Don Giovanni, K. *** (Excerpts): Fermati, scellerato!",0.494,124.071,0.417,1942
0.995,26350,['Wolfgang Amadeus Mozart'],0.33,234373,0.0394,0,Classical,0.909,0,0.0763,-23.716,1,0,1/1/1942,"Don Giovanni, K. *** (Excerpts Sung in German): Wenn du fein fromm bist",0.0464,76.942,0.254,1942
0.979,26350,['Wolfgang Amadeus Mozart'],0.551,87107,0.539,0,Classical,0.792,6,0.869,-14.15,1,0,1/1/1942,"Don Giovanni, K. *** (Excerpts): Fin ch'han dal vino",0.545,139.893,0.844,1942
0.973,26350,['Wolfgang Amadeus Mozart'],0.155,235360,0.125,0,Classical,0.822,10,0.347,-17.291,1,0,1942,"Symphony No. ** in G Minor, K. **** II. Andante",0.0414,76.278,0.0394,1942
0.994,26350,['Wolfgang Amadeus Mozart'],0.289,132427,0.0602,0,Classical,5.32E-05,2,0.177,-25.086,1,0,1/1/1942,"Don Giovanni, K. *** (Excerpts Sung in German): O zeige dich am Fenster",0.0669,78.236,0.373,1942
0.989,26350,['Wolfgang Amadeus Mozart'],0.362,186107,0.0927,0,Classical,0.000509,10,0.0843,-22.427,1,0,1/1/1942,"Le nozze di Figaro, K. *** (Excerpts): Voi che sapete",0.0508,109.002,0.27,1942
0.957,26350,['Wolfgang Amadeus Mozart'],0.222,276067,0.157,0,Classical,7.97E-06,3,0.126,-16.754,1,1,1/1/1942,"Die Entführung aus dem Serail, K. 384: Welcher **** - Ach ich liebte",0.0507,178.621,0.101,1942
0.976,26350,['Wolfgang Amadeus Mozart'],0.343,755587,0.157,0,Classical,0.866,10,0.111,-15.713,1,0,1942,"Piano Concerto No. ** in B-Flat Major, K. 595: I. Allegro",0.0355,136.532,0.202,1942
0.978,26350,['Wolfgang Amadeus Mozart'],0.403,403164,0.133,0,Classical,0.778,7,0.0936,-13.761,1,0,8/22/1942,"Symphony No. 34 In C, KV 338: I. Allegro vivace",0.0386,81.8,0.307,1942
0.966,26350,['Wolfgang Amadeus Mozart'],0.4,78800,0.276,0,Classical,0.0114,3,0.121,-15.973,1,0,1/1/1942,"Don Giovanni, K. *** (Excerpts): Ah! Fuggi il traditor!",0.108,108.268,0.599,1942
0.988,26350,['Wolfgang Amadeus Mozart'],0.3,510173,0.0295,0,Classical,0.811,3,0.129,-21.671,1,0,1942,"Piano Concerto No. ** in B-Flat Major, K. 595: II. Larghetto",0.0372,132.858,0.0727,1942
0.985,26350,['Wolfgang Amadeus Mozart'],0.253,506594,0.121,0,Classical,0.883,5,0.821,-15.635,1,0,8/22/1942,"Symphony No. 34 In C, KV 338: II. Andante di molto",0.0395,87.628,0.129,1942
0.993,26350,['Wolfgang Amadeus Mozart'],0.336,155533,0.137,0,Classical,0.000519,8,0.193,-20.979,0,0,1/1/1942,"Die Zauberflöte, K. *** (Excerpts): Bei Männern, welche Liebe fühlen",0.104,86.196,0.367,1942
0.99,26350,['Wolfgang Amadeus Mozart'],0.296,261093,0.11,0,Classical,2.14E-06,10,0.0818,-19.919,1,1,1/1/1942,"Don Giovanni, K. **** Il mio tesoro intanto",0.0375,93.602,0.376,1942
0.902,26350,['Wolfgang Amadeus Mozart'],0.29,626933,0.218,0,Classical,2.30E-06,10,0.958,-20.075,1,0,1/1/1942,"Le nozze di Figaro, K. *** (Excerpts Sung in German): Nun scheint ja alles still zu sein",0.145,77.247,0.308,1942
0.965,26350,['Wolfgang Amadeus Mozart'],0.492,213467,0.0572,0,Classical,0.826,7,0.0907,-12.304,1,0,1942,"Symphony No. ** in G Minor, K. **** III. Menuetto - Trio",0.0393,130.621,0.311,1942
