acousticness,artist_id,artist_names,danceability,duration_ms,energy,explicit,genre,instrumentalness,key,liveness,loudness,mode,popularity,release_date,song_title (censored),speechiness,tempo,valence,year
0.932,211197,['Dick Gregory'],0.56,217173,0.725,0,Comedy/Spoken,2.74E-05,1,0.691,-11.888,0,7,1961,Commentary on Affairs Political,0.934,107.281,0.654,1961
0.948,211197,['Dick Gregory'],0.479,344120,0.67,0,Comedy/Spoken,2.98E-05,1,0.742,-12.73,1,6,1961,Congo Daily Tribune,0.942,82.107,0.536,1961
0.947,211197,['Dick Gregory'],0.502,278547,0.649,0,Comedy/Spoken,5.82E-05,8,0.158,-13.369,1,4,1961,*** Proof,0.943,82.643,0.61,1961
0.942,211197,['Dick Gregory'],0.603,200320,0.564,0,Comedy/Spoken,3.82E-06,2,0.576,-13.167,1,4,1961,Not Poor -- Just Busted,0.934,116.457,0.624,1961
0.957,211197,['Dick Gregory'],0.561,138240,0.526,0,Comedy/Spoken,1.16E-05,11,0.54,-12.972,0,4,1961,Thoughts on Outer *****,0.945,154.069,0.67,1961
0.971,67561,['Bob Newhart'],0.418,440147,0.908,0,Comedy/Spoken,9.55E-06,1,0.83,-10.612,1,12,1961,Rocket Scientist,0.936,73.583,0.293,1961
0.949,67561,['Bob Newhart'],0.544,310813,0.88,0,Comedy/Spoken,0.000315,6,0.733,-10.329,1,10,1961,Tourist Meets Khrushchev,0.935,87.524,0.359,1961
0.957,67561,['Bob Newhart'],0.512,412200,0.866,0,Comedy/Spoken,0,3,0.883,-10.12,0,8,1961,The Seven Lost Cities of the Incas,0.903,121.782,0.294,1961
0.961,67561,['Bob Newhart'],0.495,475293,0.918,0,Comedy/Spoken,0,6,0.914,-10.17,1,8,1961,The African Movie,0.908,102.562,0.31,1961
0.941,67561,['Bob Newhart'],0.489,163773,0.953,0,Comedy/Spoken,1.50E-06,10,0.976,-10.525,0,8,1961,TV Commericals,0.916,81.907,0.182,1961
0.964,67561,['Bob Newhart'],0.519,70000,0.843,0,Comedy/Spoken,0,5,0.867,-10.673,0,7,1961,Herb Philbrick - Counter Spy,0.825,100.141,0.423,1961
0.922,120487,['Jack Kerouac'],0.556,96373,0.137,0,Comedy/Spoken,4.23E-06,0,0.185,-24.019,0,15,1959,The Moon Her Majesty (with Steve Allen),0.369,144.175,0.432,1959
0.971,120487,['Jack Kerouac'],0.667,370707,0.152,0,Comedy/Spoken,0,5,0.117,-22.002,1,14,1959,I Had a Slouch Hat Too One Time (with Steve Allen),0.5,107.969,0.557,1959
0.969,120487,['Jack Kerouac'],0.473,47400,0.0629,0,Comedy/Spoken,5.39E-05,2,0.099,-26.743,0,14,1959,One ****** (with Steve Allen),0.423,82.828,0.528,1959
0.959,120487,['Jack Kerouac'],0.565,112733,0.0743,0,Comedy/Spoken,1.39E-05,1,0.191,-24.968,1,13,1959,The Wheel of the Quivering Meat Conception (with Steve Allen),0.311,87.313,0.326,1959
0.961,120487,['Jack Kerouac'],0.694,37240,0.269,0,Comedy/Spoken,0.00256,2,0.172,-17.95,0,14,1959,I'd Rather Be Thin Than Famous (with Steve Allen),0.103,140.37,0.822,1959
0.972,120487,['Jack Kerouac'],0.659,203440,0.15,0,Comedy/Spoken,8.34E-06,9,0.152,-21.753,0,14,1959,Mcdougal Street ***** (with Steve Allen),0.479,116.148,0.545,1959
0.965,120487,['Jack Kerouac'],0.59,75667,0.0597,0,Comedy/Spoken,0,1,0.0896,-22.86,1,13,1959,Abraham (with Steve Allen),0.267,61.039,0.551,1959
0.957,120487,['Jack Kerouac'],0.754,30040,0.303,0,Comedy/Spoken,0.000607,0,0.266,-14.455,1,13,1959,Dave Brubeck (with Steve Allen),0.152,118.15,0.66,1959
0.942,120487,['Jack Kerouac'],0.615,133960,0.0121,0,Comedy/Spoken,0,5,0.0853,-28.04,1,9,1959,Hard Hearted Old Farmer,0.206,110.75,0.246,1959
0.983,120487,['Jack Kerouac'],0.686,229227,0.033,0,Comedy/Spoken,8.25E-06,5,0.147,-23.591,1,10,1959,The Last Hotel & **** of Dharma,0.07,94.376,0.0976,1959
0.905,120487,['Jack Kerouac'],0.714,849000,0.133,0,Comedy/Spoken,0,0,0.206,-15.762,1,9,1959,"Poems from the *********** ""Book of ******",0.554,126.071,0.427,1959
0.889,120487,['Jack Kerouac'],0.657,605040,0.0698,0,Comedy/Spoken,0,1,0.518,-23.183,1,8,1959,Conclusion of the Railroad Earth,0.535,109.84,0.414,1959
0.956,120487,['Jack Kerouac'],0.555,399107,0.0539,0,Comedy/Spoken,0,7,0.193,-24.601,0,8,1959,Old Western Movies,0.322,79.426,0.3,1959
0.982,120487,['Jack Kerouac'],0.568,427800,0.225,0,Comedy/Spoken,3.21E-05,1,0.15,-17.924,1,32,1959,October in the Railroad Earth (with Steve Allen),0.527,70.672,0.584,1959
0.99,120487,['Jack Kerouac'],0.654,223267,0.195,0,Comedy/Spoken,0.0023,5,0.109,-18.748,1,20,1959,Charlie Parker (with Steve Allen),0.257,123.487,0.462,1959
0.975,120487,['Jack Kerouac'],0.689,197440,0.247,0,Comedy/Spoken,1.54E-06,1,0.124,-17.59,1,19,1959,Sounds of the Universe Coming in My Window (with Steve Allen),0.874,65.194,0.501,1959
0.99,120487,['Jack Kerouac'],0.687,64373,0.194,0,Comedy/Spoken,2.91E-05,5,0.115,-17.901,1,17,1959,Deadbelly (with Steve Allen),0.403,128.173,0.377,1959
0.983,120487,['Jack Kerouac'],0.684,103107,0.217,0,Comedy/Spoken,7.97E-06,6,0.123,-16.702,1,16,1959,Goofing at the Table (with Steve Allen),0.517,78.715,0.533,1959
0.899,120487,['Jack Kerouac'],0.661,599707,0.0444,0,Comedy/Spoken,0.000433,10,0.14,-18.359,1,15,1959,American Haikus,0.214,133.552,0.213,1959
0.958,120487,['Jack Kerouac'],0.597,232773,0.151,0,Comedy/Spoken,0,5,0.155,-20.435,0,15,1959,Bowery ***** (with Steve Allen),0.568,83.949,0.424,1959
0.98,364861,['Rudy Ray Moore'],0.662,159999,0.464,0,Comedy/Spoken,1.84E-05,3,0.752,-11.695,0,10,1959,My ****,0.939,85.035,0.437,1959
0.977,364861,['Rudy Ray Moore'],0.568,153665,0.367,0,Comedy/Spoken,1.21E-06,11,0.837,-11.919,1,9,1959,Gloves and ****,0.84,170.742,0.64,1959
0.984,364861,['Rudy Ray Moore'],0.667,124320,0.526,0,Comedy/Spoken,0.00195,9,0.669,-9.356,1,9,1959,The New President - The Lady Speaker,0.883,99.355,0.614,1959
0.911,611877,['Tom Lehrer'],0.497,172813,0.472,0,Comedy/Spoken,0,0,0.699,-14.86,1,10,1/1/1959,***** My ****,0.791,130.771,0.325,1959
0.979,611877,['Tom Lehrer'],0.653,126453,0.233,0,Comedy/Spoken,0,5,0.131,-13.825,1,10,1/1/1959,Bright College Days,0.324,128.796,0.486,1959
0.967,611877,['Tom Lehrer'],0.642,102840,0.215,0,Comedy/Spoken,0,5,0.0929,-13.375,1,9,1/1/1959,A Christmas Carol,0.316,98.521,0.683,1959
0.964,611877,['Tom Lehrer'],0.68,257973,0.238,0,Comedy/Spoken,0,0,0.168,-13.899,1,9,1/1/1959,Clementine,0.387,120.33,0.517,1959
0.973,611877,['Tom Lehrer'],0.555,248387,0.282,0,Comedy/Spoken,1.94E-06,2,0.0948,-13.313,1,9,1/1/1959,In Old Mexico,0.0639,110.6,0.457,1959
0.956,611877,['Tom Lehrer'],0.656,86453,0.372,0,Comedy/Spoken,0,0,0.129,-12.495,1,38,1/1/1959,The Elements (Music By Sir Arthur Sullivan),0.0811,115.39,0.916,1959
0.965,611877,['Tom Lehrer'],0.562,159467,0.435,0,Comedy/Spoken,0,7,0.932,-13.963,1,34,1/1/1959,Poisoning Pigeons In The Park,0.575,111.367,0.591,1959
0.984,611877,['Tom Lehrer'],0.646,207080,0.212,0,Comedy/Spoken,0,5,0.122,-14.477,1,21,1/1/1959,We Will All Go Together When We Go,0.131,118.142,0.608,1959
0.944,611877,['Tom Lehrer'],0.569,223400,0.607,0,Comedy/Spoken,0,7,0.901,-15.267,1,20,1/1/1959,Oedipus Rex,0.903,117.335,0.194,1959
0.873,611877,['Tom Lehrer'],0.549,290520,0.646,0,Comedy/Spoken,0,0,0.71,-13.276,1,18,1/1/1959,It Makes A Fellow Proud To Be A Soldier,0.894,129.636,0.44,1959
0.946,611877,['Tom Lehrer'],0.52,183187,0.519,0,Comedy/Spoken,0,5,0.925,-15.615,1,17,1/1/1959,Bright College Days,0.932,138.795,0.532,1959
0.945,611877,['Tom Lehrer'],0.487,281053,0.486,0,Comedy/Spoken,3.85E-06,0,0.984,-16.101,1,16,1/1/1959,Clementine,0.882,129.26,0.348,1959
0.954,611877,['Tom Lehrer'],0.555,138853,0.572,0,Comedy/Spoken,2.00E-06,0,0.723,-16.13,1,16,1/1/1959,The Elements (Music By Sir Arthur Sullivan),0.782,122.268,0.571,1959
0.986,611877,['Tom Lehrer'],0.506,133493,0.255,0,Comedy/Spoken,0,7,0.17,-15.268,1,15,1/1/1959,Poisoning Pigeons In The Park,0.292,204.113,0.61,1959
0.953,611877,['Tom Lehrer'],0.519,395573,0.458,0,Comedy/Spoken,1.05E-06,2,0.936,-14.234,1,16,1/1/1959,In Old Mexico,0.775,110.804,0.498,1959
0.982,611877,['Tom Lehrer'],0.718,99640,0.268,0,Comedy/Spoken,0,0,0.122,-14.751,1,14,1/1/1959,Oedipus Rex,0.27,112.344,0.873,1959
0.915,611877,['Tom Lehrer'],0.491,330707,0.507,0,Comedy/Spoken,0,5,0.816,-13.84,1,14,1/1/1959,We Will All Go Together When We Go,0.931,88.701,0.457,1959
0.969,611877,['Tom Lehrer'],0.616,183253,0.259,0,Comedy/Spoken,0,7,0.11,-12.069,0,14,1/1/1959,The Masochism Tango,0.106,117.719,0.685,1959
0.982,611877,['Tom Lehrer'],0.487,108813,0.228,0,Comedy/Spoken,0,0,0.17,-14.222,1,14,1/1/1959,***** My ****,0.0928,75.821,0.529,1959
0.903,611877,['Tom Lehrer'],0.534,210320,0.641,0,Comedy/Spoken,0,2,0.898,-8.971,0,13,1/1/1959,The Masochism Tango,0.572,123.8,0.628,1959
0.971,611877,['Tom Lehrer'],0.685,160347,0.32,0,Comedy/Spoken,0,0,0.199,-12.789,1,11,1/1/1959,It Makes A Fellow Proud To Be A Soldier,0.397,125.949,0.869,1959
0.94,611877,['Tom Lehrer'],0.581,158707,0.414,0,Comedy/Spoken,0,5,0.899,-17.244,1,11,1/1/1959,A Christmas Carol,0.912,65.589,0.749,1959
0.993,744548,['Spike Jones'],0.647,152880,0.656,0,Comedy/Spoken,0.00909,3,0.393,-8.899,1,2,10/14/1943,Ridin' for a Fall,0.152,98.393,0.903,1943
0.981,744548,['Spike Jones'],0.47,143685,0.933,0,Comedy/Spoken,0.786,10,0.853,-6.697,1,0,10/14/1943,"Hotcha Cornia, Black Eyes",0.21,164.328,0.631,1943
0.312,802264,['Cassius Clay'],0.747,131267,0.397,0,Comedy/Spoken,0,7,0.114,-13.255,1,31,1963,Stand by Me,0.0406,115.381,0.967,1963
0.85,2273,['Allan Sherman'],0.505,197333,0.403,0,Comedy/Spoken,0,8,0.661,-12.125,1,15,1963,Return to Camp *******,0.129,93.871,0.382,1963
0.74,70534,['Bill Cosby'],0.532,75640,0.868,0,Comedy/Spoken,0,10,0.886,-14.188,0,16,1963,Noah: And the Neighbor,0.913,91.105,0.0549,1963
0.914,70534,['Bill Cosby'],0.605,63440,0.89,0,Comedy/Spoken,0,1,0.852,-12.366,1,15,1963,Superman,0.939,61.384,0.281,1963
0.869,70534,['Bill Cosby'],0.598,310840,0.626,0,Comedy/Spoken,0,8,0.953,-11.955,1,15,1963,Karate,0.939,139.593,0.454,1963
0.925,70534,['Bill Cosby'],0.561,181307,0.673,0,Comedy/Spoken,0,8,0.244,-11.158,1,13,1963,"Noah: Me and You, Lord",0.945,62.984,0.592,1963
0.88,70534,['Bill Cosby'],0.588,105733,0.704,0,Comedy/Spoken,0,8,0.897,-11.302,1,12,1963,Little Tiny Hairs,0.919,86.866,0.472,1963
0.876,70534,['Bill Cosby'],0.621,134133,0.68,0,Comedy/Spoken,0,2,0.74,-11.266,0,11,1963,The Difference Between Men and Woman,0.913,110.247,0.654,1963
0.92,70534,['Bill Cosby'],0.59,187227,0.629,0,Comedy/Spoken,0,9,0.76,-12.376,1,11,1963,Greasy Kid Stuff,0.935,121.579,0.253,1963
0.911,70534,['Bill Cosby'],0.601,105387,0.639,0,Comedy/Spoken,0,10,0.737,-10.609,1,10,1963,The Pep Talk,0.92,105.376,0.71,1963
0.916,70534,['Bill Cosby'],0.55,105600,0.701,0,Comedy/Spoken,0,5,0.77,-12.25,0,11,1963,Hoof and Mouth,0.934,63.199,0.53,1963
0.944,70534,['Bill Cosby'],0.711,130347,0.474,0,Comedy/Spoken,0,11,0.704,-12.333,0,17,1963,Toss of the Coin,0.949,105.261,0.404,1963
0.94,70534,['Bill Cosby'],0.545,195360,0.556,0,Comedy/Spoken,0,8,0.733,-12.783,0,17,1963,A Nut in Every Car,0.931,93.059,0.579,1963
0.862,70534,['Bill Cosby'],0,215280,0.77,0,Comedy/Spoken,1.88E-06,9,0.694,-15.316,0,16,1963,Noah: Right!,0,0,0,1963
0.699,500612,['Adam Sandler'],0.405,303040,0.558,0,Comedy/Spoken,0,8,0.659,-10.194,0,34,9/24/1993,Lunchlady Land,0.465,85.891,0.433,1993
0.826,500612,['Adam Sandler'],0.396,228133,0.577,0,Comedy/Spoken,0,6,0.954,-13.277,1,29,9/24/1993,The Thanksgiving Song,0.823,88.212,0.343,1993
0.486,500612,['Adam Sandler'],0.513,197293,0.523,1,Comedy/Spoken,0,0,0.102,-5.844,1,41,9/24/1993,At a Medium Pace,0.0476,155.552,0.371,1993
0.554,238245,['Denis Leary'],0.378,266173,0.664,0,Comedy/Spoken,0,2,0.154,-10.652,1,48,1/1/1993,****,0.249,172.866,0.649,1993
0.751,225690,['Jeff Foxworthy'],0.469,162933,0.825,0,Comedy/Spoken,0,4,0.843,-12.66,1,31,6/15/1993,You Might Be a Redneck If...,0.941,167.683,0.0617,1993
0.362,500612,['Adam Sandler'],0.788,235040,0.455,1,Comedy/Spoken,0,9,0.139,-8.761,1,39,2/9/1996,Ode to My Car,0.0587,131.459,0.605,1996
0.766,500612,['Adam Sandler'],0.356,223947,0.503,0,Comedy/Spoken,2.51E-06,9,0.871,-8.937,1,35,2/9/1996,Chanukah Song - The,0.0734,88.816,0.331,1996
0.858,500612,['Adam Sandler'],0.54,115320,0.382,0,Comedy/Spoken,0,9,0.0967,-12.183,1,44,1979,Grow Old with You,0.454,106.608,0.857,1979
0.903,245133,['Robert Klein'],0.531,162640,0.106,0,Comedy/Spoken,2.61E-05,2,0.137,-20.683,1,42,1/1/1979,Fallin' - **** Original Broadway Cast,0.0527,131.263,0.295,1979
0.857,287860,['Robin Williams'],0.52,486429,0.552,1,Comedy/Spoken,1.25E-05,1,0.972,-19.593,1,25,1/1/1979,Nicky Lenin,0.907,111.722,0.424,1979
0.82,287860,['Robin Williams'],0.513,245522,0.331,1,Comedy/Spoken,0,10,0.815,-22.549,1,24,1/1/1979,Pop Goes The Weasel,0.943,79.248,0.616,1979
0.861,287860,['Robin Williams'],0.663,103909,0.345,1,Comedy/Spoken,1.68E-06,10,0.955,-22.862,0,24,1/1/1979,Kindergarten Of The Stars,0.919,82.852,0.51,1979
0.858,287860,['Robin Williams'],0.569,145148,0.679,1,Comedy/Spoken,0,9,0.697,-16.447,1,23,1/1/1979,Come Inside My Mind,0.927,102.229,0.679,1979
0.845,287860,['Robin Williams'],0.549,64528,0.65,1,Comedy/Spoken,2.08E-05,7,0.768,-20.189,1,23,1/1/1979,A Touch Of Fairfax,0.623,45.518,0.45,1979
