acousticness,artist_id,artist_names,danceability,duration_ms,energy,explicit,genre,instrumentalness,key,liveness,loudness,mode,popularity,release_date,song_title (censored),speechiness,tempo,valence,year
0.0771,808003,"[""Jamie O'Neal""]",0.493,221425,0.735,0,Country,0,1,0.107,-6.012,1,42,1/1/2005,********** Hero,0.0432,164.059,0.626,2005
0.773,593129,"[""Tim O'Brien""]",0.534,216587,0.502,0,Country,0,7,0.122,-9.063,1,44,2005,Long Time Gone,0.0357,172.724,0.9,2005
0.714,746387,['Tracy Lawrence'],0.502,244680,0.476,0,Country,5.23E-06,5,0.159,-7.521,1,49,1/1/2005,If I Don't Make It Back,0.0357,146.363,0.322,2005
0.198,936206,['Alabama'],0.748,223120,0.281,0,Country,9.88E-05,0,0.0831,-12.665,1,42,5/17/2005,Take Me Down,0.0678,93.994,0.489,2005
0.139,936206,['Alabama'],0.747,214880,0.46,0,Country,1.19E-06,7,0.0801,-12.797,1,42,5/17/2005,The Closer You Get,0.028,114.254,0.852,2005
0.189,936206,['Alabama'],0.485,191027,0.672,0,Country,0,9,0.329,-7.571,1,38,5/17/2005,Song of the South,0.0358,162.016,0.692,2005
0.208,936206,['Alabama'],0.464,236427,0.405,0,Country,1.10E-05,7,0.0611,-12.538,1,66,5/17/2005,Dixieland Delight - Single Edit,0.033,95.852,0.514,2005
0.141,936206,['Alabama'],0.466,217987,0.55,0,Country,0,9,0.149,-9.517,1,49,5/17/2005,Mountain Music,0.0437,109.53,0.747,2005
0.813,57840,['B.J. Thomas'],0.519,184493,0.446,0,Country,0.000124,5,0.11,-9.287,1,57,2005,Raindrops Keep Fallin' On My Head,0.0388,104.962,0.654,2005
0.117,762821,['Big & Rich'],0.259,298240,0.729,0,Country,0,2,0.438,-2.665,1,49,11/15/2005,8th of November,0.0418,169.11,0.284,2005
0.258,762821,['Big & Rich'],0.559,207133,0.944,0,Country,0,9,0.165,-1.422,0,49,11/15/2005,Comin' to Your City,0.085,99.027,0.66,2005
0.307,81739,['Billy Currington'],0.716,215853,0.72,0,Country,0,5,0.135,-2.183,1,69,1/1/2005,Good Directions,0.0319,122.512,0.464,2005
0.205,81739,['Billy Currington'],0.489,269587,0.647,0,Country,0,9,0.0504,-3.424,1,65,1/1/2005,Must Be Doin' ********* Right,0.027,167.792,0.436,2005
0.266,767370,['Billy Dean'],0.54,225653,0.516,0,Country,0,1,0.204,-5.221,1,45,3/29/2005,Let Them Be Little,0.0246,135.9,0.285,2005
0.141,767370,['Billy Dean'],0.537,214560,0.6,0,Country,0,9,0.36,-6.675,1,55,1/1/2005,Only Here For A Little While,0.028,172.541,0.774,2005
0.358,610880,['Brad Paisley'],0.445,241653,0.95,0,Country,0.00161,4,0.101,-6.018,1,42,8/16/2005,The World,0.0535,176.775,0.886,2005
0.569,610880,['Brad Paisley'],0.355,266920,0.478,0,Country,2.90E-06,0,0.194,-8.323,1,65,8/16/2005,***** Everything,0.0335,102.971,0.269,2005
0.373,610880,['Brad Paisley'],0.552,290933,0.754,0,Country,3.02E-05,11,0.208,-5.888,1,55,8/16/2005,Alcohol,0.0302,141.671,0.595,2005
0.0846,610880,['Brad Paisley'],0.548,272587,0.617,0,Country,5.09E-05,0,0.113,-7.093,1,54,8/16/2005,Waitin' On a Woman,0.0283,76.371,0.339,2005
0.312,522768,['Brooks & Dunn'],0.568,258693,0.829,0,Country,2.57E-06,7,0.514,-4.713,1,59,8/30/2005,Hillbilly Deluxe,0.0461,155.041,0.551,2005
0.0817,522768,['Brooks & Dunn'],0.692,194827,0.944,0,Country,0,7,0.574,-2.846,1,58,8/30/2005,Play ********* Country,0.0322,115.148,0.774,2005
0.782,522768,['Brooks & Dunn'],0.598,338520,0.223,0,Country,9.76E-05,9,0.102,-9.842,1,52,8/30/2005,Believe,0.0365,117.308,0.211,2005
0.0604,861252,['Carrie Underwood'],0.617,228427,0.874,0,Country,0,2,0.0758,-4.288,1,44,11/14/2005,**** Hearts,0.051,113.797,0.281,2005
0.0514,861252,['Carrie Underwood'],0.622,249893,0.804,0,Country,0,8,0.046,-4.845,1,43,11/14/2005,Lessons Learned,0.0429,96.969,0.537,2005
0.161,861252,['Carrie Underwood'],0.61,227347,0.691,0,Country,0,5,0.164,-4.312,1,42,11/14/2005,Whenever You Remember,0.0285,119.982,0.317,2005
0.437,861252,['Carrie Underwood'],0.541,234773,0.721,0,Country,0,4,0.114,-2.497,1,41,11/14/2005,The ***** Before (Life Goes On),0.0329,97.083,0.387,2005
0.564,861252,['Carrie Underwood'],0.486,199787,0.859,0,Country,0,0,0.141,-3.579,1,41,11/14/2005,I Ain't In Checotah Anymore,0.0693,157.898,0.441,2005
0.0372,861252,['Carrie Underwood'],0.476,238907,0.635,0,Country,0,6,0.12,-4.824,1,41,11/14/2005,I Just Can't Live a Lie,0.0273,153.866,0.283,2005
0.271,861252,['Carrie Underwood'],0.519,199947,0.749,0,Country,0,6,0.119,-3.318,0,74,11/14/2005,Before He Cheats,0.0405,147.905,0.29,2005
0.665,861252,['Carrie Underwood'],0.359,226493,0.518,0,Country,0,2,0.106,-3.537,1,62,11/14/2005,"Jesus, Take the Wheel",0.0302,76.572,0.135,2005
0.0936,861252,['Carrie Underwood'],0.548,274267,0.775,0,Country,0,8,0.0721,-3.285,1,51,11/14/2005,Wasted,0.0306,94.998,0.311,2005
0.564,861252,['Carrie Underwood'],0.434,240267,0.608,0,Country,0,2,0.283,-4.281,1,50,11/14/2005,Don't Forget to Remember Me,0.0311,78.606,0.331,2005
0.0835,861252,['Carrie Underwood'],0.467,246627,0.641,0,Country,3.49E-05,9,0.0853,-4.721,1,46,11/14/2005,Starts with Goodbye,0.0346,148.045,0.239,2005
0.185,106916,['Chris Cagle'],0.526,234653,0.569,0,Country,0,1,0.0812,-5.786,1,43,1/1/2005,Miss Me Baby,0.0259,147.87,0.357,2005
0.194,106916,['Chris Cagle'],0.563,262333,0.717,0,Country,0,6,0.389,-6.298,1,41,1/1/2005,Wal-Mart Parking Lot,0.0329,146.591,0.578,2005
0.571,106916,['Chris Cagle'],0.64,243000,0.478,0,Country,0,11,0.0902,-6.96,1,39,1/1/2005,Anywhere But Here,0.033,136.717,0.315,2005
0.455,124881,['Craig Morgan'],0.49,230373,0.817,0,Country,0,8,0.0885,-5.405,1,68,3/8/2005,Redneck Yacht ****,0.0355,168.115,0.808,2005
0.479,124881,['Craig Morgan'],0.6,201493,0.56,0,Country,0,8,0.111,-6.311,1,64,3/8/2005,That's What I Love About Sunday,0.0325,139.469,0.417,2005
0.49,629609,['David Allan Coe'],0.592,244708,0.46,0,Country,0,4,0.0918,-11.275,1,40,2005,Roll On ** Wheeler,0.0901,136.132,0.812,2005
0.0644,825883,['Dierks Bentley'],0.579,281973,0.57,0,Country,0.00636,5,0.105,-5.869,1,50,1/1/2005,Come A Little Closer,0.0227,80.028,0.368,2005
0.0813,825883,['Dierks Bentley'],0.533,223200,0.665,0,Country,1.86E-05,5,0.332,-5.632,1,47,1/1/2005,Settle For A Slowdown,0.0317,80.975,0.212,2005
0.00112,825883,['Dierks Bentley'],0.578,272627,0.878,0,Country,0.0146,11,0.6,-3.434,1,47,1/1/2005,Lot Of Leavin' Left To Do,0.0287,118.029,0.693,2005
0.568,175286,['Dolly Parton'],0.537,174467,0.573,0,Country,0.000641,1,0.062,-9.106,1,47,6/28/2005,Here You Come *****,0.0369,105.795,0.615,2005
0.947,175286,['Dolly Parton'],0.439,173960,0.153,0,Country,0.000202,9,0.118,-12.319,1,43,6/28/2005,I Will Always Love You,0.0333,135.256,0.18,2005
0.229,175286,['Dolly Parton'],0.56,180907,0.606,0,Country,6.12E-06,6,0.0637,-10.866,1,50,6/28/2005,9 to 5,0.0398,103.726,0.803,2005
0.113,162269,['Faith Hill'],0.499,232707,0.765,0,Country,0,9,0.0509,-4.148,1,51,8/2/2005,Mississippi ****,0.0521,83.916,0.665,2005
0.0817,162269,['Faith Hill'],0.497,257693,0.468,0,Country,0,2,0.112,-8.182,1,47,8/2/2005,Like We Never Loved at All,0.0286,133.789,0.285,2005
0.522,143951,['Faron Young'],0.652,121907,0.431,0,Country,0.000709,0,0.0909,-11.456,1,44,2005,***** Walls,0.0396,119.376,0.895,2005
0.00254,659299,['Gary Allan'],0.273,251480,0.59,0,Country,1.07E-06,6,0.108,-4.997,1,53,1/1/2005,Best I Ever Had,0.0295,174.863,0.214,2005
0.216,659299,['Gary Allan'],0.481,224613,0.508,0,Country,0.000175,2,0.105,-7.666,1,47,1/1/2005,Life Ain't Always Beautiful,0.0248,86.013,0.268,2005
0.378,944084,['George Strait'],0.554,183973,0.547,0,Country,0.000251,5,0.0928,-6.511,1,40,1/1/2005,Texas,0.0256,150.237,0.342,2005
0.0888,944084,['George Strait'],0.659,198213,0.572,0,Country,1.08E-05,6,0.0813,-7.817,0,51,1/1/2005,*** Let Herself Go,0.0252,113.987,0.386,2005
0.167,944084,['George Strait'],0.508,251333,0.576,0,Country,0.00215,6,0.33,-7.441,0,49,1/1/2005,The ********* Of Old Mexico,0.0294,156.938,0.516,2005
0.189,196976,['Gretchen Wilson'],0.392,212520,0.928,0,Country,0,0,0.183,-3.702,1,46,9/1/2005,All ****** Up,0.153,188.72,0.765,2005
