acousticness,artist_id,artist_names,danceability,duration_ms,energy,explicit,genre,instrumentalness,key,liveness,loudness,mode,popularity,release_date,song_title (censored),speechiness,tempo,valence,year
0.961,781399,['Jackie Gleason'],0.181,221560,0.277,0,Easy Listening,0.834,2,0.184,-12.3,0,3,1/18/1954,I Cover The Waterfront,0.0333,91.177,0.151,1954
0.945,781399,['Jackie Gleason'],0.161,206667,0.201,0,Easy Listening,0.891,3,0.145,-14.172,1,4,5/3/1954,Shangri-La,0.0333,89.192,0.0771,1954
0.821,781399,['Jackie Gleason'],0.64,353280,0.471,0,Easy Listening,0,11,0.966,-12.543,1,1,5/3/1954,Casey At The Bat - Live,0.926,127.758,0.215,1954
0.739,781399,['Jackie Gleason'],0.721,162347,0.824,0,Easy Listening,1.03E-06,0,0.142,-7.009,1,1,5/3/1954,Hy'a Mister Dennehy,0.093,126.414,0.95,1954
0.804,781399,['Jackie Gleason'],0.509,172000,0.666,0,Easy Listening,0,9,0.797,-12.619,0,0,5/3/1954,I Had But 50 Cents - Live,0.894,132.562,0.286,1954
0.92,781399,['Jackie Gleason'],0.145,194880,0.25,0,Easy Listening,0.795,1,0.102,-12.34,1,28,8/2/1954,Once In A While,0.0367,64.837,0.163,1954
0.898,781399,['Jackie Gleason'],0.206,192720,0.18,0,Easy Listening,0.899,5,0.142,-13.483,1,25,8/2/1954,I Remember You,0.0338,80.346,0.0743,1954
0.76,781399,['Jackie Gleason'],0.675,188600,0.297,0,Easy Listening,0.742,5,0.0756,-12.353,0,22,5/3/1954,It's Such A Happy Day,0.0363,121.404,0.566,1954
0.935,781399,['Jackie Gleason'],0.264,183080,0.196,0,Easy Listening,0.911,1,0.111,-13.056,1,22,8/2/1954,I'll Be Seeing You,0.0329,65.681,0.0663,1954
0.97,781399,['Jackie Gleason'],0.208,218587,0.191,0,Easy Listening,0.903,5,0.17,-13.675,1,20,8/2/1954,The Nearness Of You,0.0373,67.061,0.102,1954
0.957,781399,['Jackie Gleason'],0.151,206280,0.164,0,Easy Listening,0.849,5,0.145,-13.455,1,20,8/2/1954,I Got It Bad (And That Ain't Good),0.0328,84.872,0.0741,1954
0.969,781399,['Jackie Gleason'],0.236,196680,0.247,0,Easy Listening,0.945,0,0.21,-11.727,1,20,8/2/1954,Unforgettable,0.0349,61.404,0.0641,1954
0.948,781399,['Jackie Gleason'],0.18,205453,0.193,0,Easy Listening,0.861,0,0.204,-12.786,1,19,8/2/1954,I Can't Get Started,0.0355,82.413,0.16,1954
0.94,781399,['Jackie Gleason'],0.179,155053,0.269,0,Easy Listening,0.481,3,0.318,-12.306,1,15,5/3/1954,Tenderly,0.0354,56.617,0.129,1954
0.961,781399,['Jackie Gleason'],0.302,150947,0.179,0,Easy Listening,0.909,0,0.195,-13.97,0,15,8/2/1954,My Ideal,0.0322,91.096,0.138,1954
0.953,781399,['Jackie Gleason'],0.224,195747,0.284,0,Easy Listening,0.853,0,0.128,-10.203,0,15,8/2/1954,I Love You (Je T'Aime!),0.0349,72.961,0.0933,1954
0.945,781399,['Jackie Gleason'],0.172,142480,0.28,0,Easy Listening,0.755,2,0.104,-11.499,1,15,8/2/1954,The Song Is Ended,0.0331,66.154,0.0676,1954
0.932,781399,['Jackie Gleason'],0.103,207907,0.183,0,Easy Listening,0.835,3,0.118,-13.58,1,15,8/2/1954,Shangri-La,0.0396,63.489,0.111,1954
0.954,781399,['Jackie Gleason'],0.193,182947,0.217,0,Easy Listening,0.844,7,0.109,-12.889,0,14,8/2/1954,**********,0.0341,148.801,0.0921,1954
0.893,781399,['Jackie Gleason'],0.127,171787,0.196,0,Easy Listening,0.912,5,0.128,-12.822,1,14,8/2/1954,It Could Happen To You,0.0344,74.685,0.088,1954
0.958,781399,['Jackie Gleason'],0.18,178653,0.219,0,Easy Listening,0.856,5,0.0932,-12.516,1,13,8/2/1954,******** Loves Me,0.0337,67.178,0.128,1954
0.872,781399,['Jackie Gleason'],0.213,189653,0.154,0,Easy Listening,0.898,3,0.0931,-14.99,1,13,8/2/1954,Time On My ***** (You In My Arms),0.0341,112.837,0.0873,1954
0.435,781399,['Jackie Gleason'],0.681,131280,0.358,0,Easy Listening,0.798,8,0.133,-14.814,1,13,8/2/1954,How High The Moon,0.0767,130.153,0.883,1954
0.969,781399,['Jackie Gleason'],0.111,210160,0.262,0,Easy Listening,0.896,10,0.439,-10.752,1,5,1/18/1954,If I Had You,0.0339,75.386,0.122,1954
0.188,781399,['Jackie Gleason'],0.097,163907,0.47,0,Easy Listening,0.919,3,0.2,-8.81,1,5,5/3/1954,You're My Greatest Love,0.036,160.872,0.22,1954
0.968,781399,['Jackie Gleason'],0.218,202000,0.273,0,Easy Listening,0.91,5,0.157,-11.702,0,4,1/18/1954,Little ****,0.0345,110.215,0.0961,1954
0.948,781399,['Jackie Gleason'],0.186,206667,0.211,0,Easy Listening,0.909,8,0.171,-13.067,1,5,1/18/1954,**** Day,0.0335,85.098,0.143,1954
0.852,781399,['Jackie Gleason'],0.196,201627,0.365,0,Easy Listening,0.856,0,0.228,-10.977,1,3,1/18/1954,Affair,0.034,88.296,0.102,1954
0.942,781399,['Jackie Gleason'],0.206,203173,0.25,0,Easy Listening,0.858,5,0.392,-11.51,1,4,5/3/1954,Our Love Is Here To Stay,0.0362,115.53,0.0813,1954
0.921,781399,['Jackie Gleason'],0.101,215000,0.214,0,Easy Listening,0.279,0,0.11,-14.027,1,3,1/18/1954,****,0.0365,85.382,0.0356,1954
0.656,781399,['Jackie Gleason'],0.358,197267,0.279,0,Easy Listening,0.0643,3,0.316,-11.495,1,3,1/18/1954,Boy,0.0372,85.419,0.263,1954
0.828,781399,['Jackie Gleason'],0.206,214893,0.331,0,Easy Listening,0.872,0,0.0886,-11.669,1,3,1/18/1954,Dance,0.0341,98.002,0.119,1954
0.769,781399,['Jackie Gleason'],0.641,134827,0.573,0,Easy Listening,0.944,8,0.0545,-9.53,1,6,5/3/1954,La La La La La La La La,0.0455,121,0.868,1954
0.905,781399,['Jackie Gleason'],0.0917,196667,0.397,0,Easy Listening,0.909,1,0.298,-6.546,0,4,5/3/1954,Melancholy ********,0.0316,62.628,0.0966,1954
0.567,781399,['Jackie Gleason'],0.67,163827,0.864,0,Easy Listening,2.62E-06,5,0.136,-5.563,1,3,5/3/1954,And Away We Go!,0.0771,132.101,0.922,1954
0.199,754767,['André Kostelanetz'],0.617,137693,0.73,0,Easy Listening,0.924,7,0.645,-10.657,1,2,1954,Fools Rush (Where Angels Fear To Tread),0.042,124.298,0.901,1954
0.992,170214,['Ferrante & Teicher'],0.456,161400,0.203,0,Easy Listening,0.84,8,0.144,-18.601,1,1,6/7/1954,The Last Time I Saw Paris,0.0351,97.335,0.14,1954
0.99,170214,['Ferrante & Teicher'],0.327,107533,0.254,0,Easy Listening,0.66,1,0.105,-15.4,1,8,6/7/1954,Wonderful Copenhagen,0.033,177.308,0.19,1954
0.993,170214,['Ferrante & Teicher'],0.455,109640,0.168,0,Easy Listening,0.939,5,0.17,-17.287,1,8,6/7/1954,A Foggy Day,0.0354,175.133,0.0966,1954
0.927,577261,['Mitch Miller'],0.311,207333,0.212,0,Easy Listening,0.64,5,0.383,-16.372,0,32,11/1/1954,Under Paris Skies,0.0359,144.486,0.25,1954
0.984,577261,['Mitch Miller'],0.18,195600,0.143,0,Easy Listening,0.000109,7,0.131,-19.198,1,7,11/1/1954,The Sea of the Moon,0.0398,72.901,0.0946,1954
0.986,577261,['Mitch Miller'],0.153,197200,0.166,0,Easy Listening,0.129,2,0.113,-16.828,0,6,11/1/1954,Au Revoir *****,0.0387,72.965,0.0902,1954
0.804,577261,['Mitch Miller'],0.751,136733,0.431,0,Easy Listening,0,5,0.057,-13.369,0,5,11/1/1954,Kalamzoo to Timbuktu (with The Paulette Sisters),0.0329,114.157,0.866,1954
0.88,685751,['Yma Sumac'],0.589,232827,0.319,0,Easy Listening,0.00817,11,0.436,-13.184,0,14,1954,Cha Cha Gitano - **** Digital Remaster,0.0748,115.193,0.273,1954
0.816,781399,['Jackie Gleason'],0.0918,194640,0.419,0,Easy Listening,0.91,9,0.157,-10.762,0,4,6/6/1955,Come Rain Or Come Shine,0.0395,174.021,0.0393,1955
0.631,781399,['Jackie Gleason'],0.124,197587,0.5,0,Easy Listening,0.724,0,0.274,-9.227,0,3,6/6/1955,Mad About The Boy,0.0363,87.235,0.077,1955
0.655,781399,['Jackie Gleason'],0.101,212653,0.368,0,Easy Listening,0.692,7,0.0929,-13.458,0,4,6/6/1955,How **** Is The Ocean,0.0425,70.961,0.0908,1955
0.833,781399,['Jackie Gleason'],0.135,160680,0.354,0,Easy Listening,0.933,5,0.131,-12.049,1,3,6/6/1955,Remember,0.0372,86.595,0.0995,1955
0.687,781399,['Jackie Gleason'],0.119,181040,0.523,0,Easy Listening,0.226,7,0.2,-9.523,1,3,6/6/1955,I'm Always Chasing Rainbows,0.0412,160.026,0.0847,1955
0.768,781399,['Jackie Gleason'],0.152,185907,0.489,0,Easy Listening,0.472,0,0.128,-9.153,1,3,6/6/1955,I Still Get A Thrill,0.0363,72.505,0.133,1955
0.8,781399,['Jackie Gleason'],0.125,156493,0.373,0,Easy Listening,0.798,3,0.131,-12.699,1,3,6/6/1955,******* I'll Find You,0.0381,83.527,0.06,1955
0.67,781399,['Jackie Gleason'],0.202,203400,0.37,0,Easy Listening,0.416,10,0.115,-12.394,1,3,6/6/1955,"Darling, Je Vous Aime Beaucoup",0.0405,116.306,0.126,1955
0.684,781399,['Jackie Gleason'],0.123,183627,0.613,0,Easy Listening,0.326,9,0.215,-8.214,0,3,6/6/1955,I ****** On The Moon,0.0384,76.906,0.0991,1955
0.51,781399,['Jackie Gleason'],0.175,199987,0.402,0,Easy Listening,0.234,3,0.131,-10.048,1,3,6/6/1955,A Garden In The Rain,0.0363,82.46,0.169,1955
0.767,781399,['Jackie Gleason'],0.237,172280,0.409,0,Easy Listening,0.641,5,0.192,-11.71,1,3,6/6/1955,Dancing On The Ceiling,0.0355,71.386,0.104,1955
0.818,781399,['Jackie Gleason'],0.137,176293,0.411,0,Easy Listening,0.932,10,0.107,-11.326,1,5,6/6/1955,There Must Be A Way,0.0365,90.337,0.0827,1955
