acousticness,artist_id,artist_names,danceability,duration_ms,energy,explicit,genre,instrumentalness,key,liveness,loudness,mode,popularity,release_date,song_title (censored),speechiness,tempo,valence,year
0.0672,178301,"[""Fat Freddy's Drop""]",0.6,437200,0.365,0,Electronic,0.585,9,0.0921,-13.083,0,54,2005,Ernie,0.0498,130.046,0.131,2005
0.0136,178301,"[""Fat Freddy's Drop""]",0.874,581008,0.326,0,Electronic,0.148,11,0.0993,-13.302,0,53,2005,Wandering Eye,0.131,119.62,0.179,2005
0.0102,133719,['Fatboy Slim'],0.65,248507,0.942,0,Electronic,0,1,0.122,-6.609,1,48,1/1/2005,Body Movin' - ****** Slim ********** Remaster,0.0754,101.786,0.785,2005
0.0839,142249,['Basement Jaxx'],0.577,211547,0.936,0,Electronic,0,5,0.344,-4.179,1,53,3/21/2005,Good Luck,0.0915,153.985,0.572,2005
0.0646,1611,['Speedy'],0.813,131773,0.762,0,Electronic,2.75E-05,6,0.136,-8.167,1,40,8/23/2005,Amor Con La Ropa,0.0409,109.737,0.82,2005
0.197,758999,['Boards of Canada'],0.643,347467,0.825,0,Electronic,0.961,1,0.116,-8.543,1,50,10/17/2005,Chromakey Dreamcoat,0.0352,96.728,0.766,2005
0.507,758999,['Boards of Canada'],0.322,300187,0.615,0,Electronic,0.819,11,0.0677,-10.774,1,53,10/17/2005,Dayvan ******,0.0427,167.95,0.0361,2005
0.165,758999,['Boards of Canada'],0.641,324907,0.477,0,Electronic,0.922,2,0.0788,-13.083,1,52,10/17/2005,******* Tail,0.058,171.424,0.46,2005
0.192,75329,['Bob Sinclar'],0.723,204798,0.872,0,Electronic,0.000154,1,0.0814,-3.617,1,63,6/20/2005,Love Generation - Radio Edit,0.0586,128.038,0.544,2005
0.916,937150,['Broadcast'],0.318,132160,0.149,0,Electronic,0.000154,9,0.118,-13.001,0,49,9/19/2005,Tears In The Typing Pool,0.035,145.913,0.368,2005
0.00206,937150,['Broadcast'],0.599,141840,0.729,0,Electronic,0.0205,9,0.337,-6.182,0,46,9/19/2005,I Found The F,0.0262,98.078,0.215,2005
0.349,937150,['Broadcast'],0.631,235013,0.609,0,Electronic,0.777,2,0.223,-9.803,1,43,9/19/2005,Corporeal,0.0509,124.983,0.267,2005
0.00328,666073,['Cascada'],0.64,199867,0.989,0,Electronic,2.07E-06,8,0.364,-3.707,1,51,8/16/2005,Everytime We Touch,0.0708,142.024,0.49,2005
6.94E-06,667669,['Daft Punk'],0.59,287720,0.787,0,Electronic,0.845,7,0.0293,-5.766,1,52,3/1/2005,Robot Rock,0.0512,111.926,0.598,2005
0.000369,667669,['Daft Punk'],0.812,284280,0.516,0,Electronic,1.09E-05,9,0.0991,-6.963,1,50,3/1/2005,Technologic,0.224,127.498,0.633,2005
0.783,667669,['Daft Punk'],0.697,289680,0.548,0,Electronic,0.841,1,0.132,-9.087,1,46,3/1/2005,Make Love,0.0561,133.005,0.977,2005
0.00139,667669,['Daft Punk'],0.608,319880,0.725,0,Electronic,0.0546,0,0.0802,-4.367,1,46,3/1/2005,Human After All,0.342,136.251,0.802,2005
0.00883,780948,['Ladytron'],0.526,276493,0.768,0,Electronic,1.06E-05,4,0.183,-5.966,0,41,2005,Destroy Everything You Touch,0.0323,120.31,0.699,2005
0.0307,241650,['Lemon Jelly'],0.712,371507,0.827,0,Electronic,0.795,1,0.122,-7.331,1,51,1/31/2005,'75 aka Stay With You,0.0414,126.001,0.305,2005
0.0227,314923,['Quantic'],0.816,222920,0.894,0,Electronic,7.23E-05,6,0.331,-9.243,1,54,2005,Mi Swing es Tropical,0.0819,99.995,0.968,2005
0.185,293969,['Röyksopp'],0.704,317092,0.927,0,Electronic,0.108,9,0.325,-7.157,1,44,6/22/2005,What Else Is There ?,0.0436,114.994,0.342,2005
0.177,48806,['Soulwax'],0.604,323853,0.952,0,Electronic,0.881,10,0.0874,-3.423,0,40,2005,Krack,0.0373,112.844,0.505,2005
0.0141,67631,['The Chemical Brothers'],0.745,393813,0.714,0,Electronic,0.0222,7,0.363,-3.681,1,63,1/1/2005,Galvanize,0.0751,104.003,0.365,2005
0.251,586798,['Thievery Corporation'],0.699,341507,0.678,0,Electronic,0.697,11,0.516,-9.212,0,46,2/22/2005,Amerimacka featuring Notch,0.0413,76.835,0.363,2005
0.386,586798,['Thievery Corporation'],0.395,196333,0.474,0,Electronic,0.765,7,0.581,-10.462,0,45,2/22/2005,Doors of Perception featuring Gunjan,0.0315,127.893,0.303,2005
0.0156,178301,"[""Fat Freddy's Drop""]",0.67,431293,0.531,0,Electronic,0.345,9,0.306,-8.267,0,55,8/7/2009,The Raft,0.0377,139.385,0.336,2009
0.00494,133719,['Fatboy Slim'],0.632,168095,0.88,0,Electronic,0.0131,3,0.0634,-6.263,0,50,11/20/2009,Praise You ****,0.0381,126.054,0.552,2009
0.0528,1011315,['Bag Raiders'],0.664,227027,0.717,0,Electronic,0.000348,11,0.138,-5.699,1,48,1/1/2009,Shooting Stars,0.0391,124.989,0.555,2009
0.0051,945951,['Calvin Harris'],0.591,211733,0.693,0,Electronic,0.123,7,0.293,-6.564,1,40,8/18/2009,I'm Not Alone - Radio Edit,0.032,131.005,0.432,2009
0.00216,945951,['Calvin Harris'],0.265,229200,0.948,0,Electronic,0.00113,9,0.0832,-5.661,0,49,8/18/2009,Flashback,0.0494,128,0.198,2009
0.0231,945951,['Calvin Harris'],0.618,231133,0.969,0,Electronic,1.27E-06,11,0.316,-6.039,0,45,8/18/2009,You Used To Hold Me,0.0413,128.964,0.19,2009
