acousticness,artist_id,artist_names,danceability,duration_ms,energy,explicit,genre,instrumentalness,key,liveness,loudness,mode,popularity,release_date,song_title (censored),speechiness,tempo,valence,year
0.78,391398,"[""Ramblin' Jack Elliott""]",0.449,443533,0.218,0,Folk,0.617,10,0.11,-15.033,1,20,1968,*** Greens,0.0323,105.44,0.432,1968
0.925,391398,"[""Ramblin' Jack Elliott""]",0.495,240400,0.425,0,Folk,0.0314,3,0.11,-10.94,1,18,1968,Talking *********,0.0486,117.907,0.494,1968
0.601,391398,"[""Ramblin' Jack Elliott""]",0.482,304693,0.299,0,Folk,0.336,7,0.106,-12.266,1,42,1968,If I Were A Carpenter,0.0295,108.101,0.152,1968
0.932,391398,"[""Ramblin' Jack Elliott""]",0.501,231800,0.311,0,Folk,0.0884,11,0.115,-15.861,1,37,1968,"Don't Think Twice, It's All Right - Album Verison",0.0323,98.232,0.558,1968
0.975,577531,['Woody Guthrie'],0.515,150013,0.158,0,Folk,0.00788,9,0.193,-15.854,0,22,1/1/1968,Little Black Train,0.0389,109.846,0.548,1968
0.982,577531,['Woody Guthrie'],0.658,178373,0.275,0,Folk,0.0759,4,0.284,-16.804,1,18,1/1/1968,Baltimore to Washington,0.0352,128.982,0.865,1968
0.741,927736,['Arlo Guthrie'],0.615,477107,0.407,0,Folk,0.00388,7,0.973,-11.894,1,21,7/22/1968,The Motorcycle Song - Remastered,0.0763,79.78,0.158,1968
0.452,927736,['Arlo Guthrie'],0.49,398680,0.535,0,Folk,0.0213,2,0.764,-11.852,1,20,7/22/1968,Meditation (Wave Upon Wave) - Remastered,0.0565,140.615,0.299,1968
0.707,927736,['Arlo Guthrie'],0.603,202200,0.552,0,Folk,0.000258,8,0.283,-10.435,1,33,7/22/1968,Wouldn't You Believe It - Remastered,0.0424,101.636,0.641,1968
0.957,667794,['Gordon Lightfoot'],0.55,164867,0.234,0,Folk,0.162,5,0.11,-17.384,1,24,11/1/1968,Bitter Green,0.0311,95.88,0.749,1968
0.863,667794,['Gordon Lightfoot'],0.513,207973,0.185,0,Folk,1.00E-05,6,0.104,-17.369,0,20,11/1/1968,Affair On 8th Avenue,0.0322,111.375,0.243,1968
0.955,667794,['Gordon Lightfoot'],0.428,170640,0.174,0,Folk,0.0693,7,0.11,-15.828,0,35,1/1/1968,************* Cat-Tails,0.0363,109.891,0.283,1968
0.938,667794,['Gordon Lightfoot'],0.5,312800,0.256,0,Folk,0.0281,11,0.129,-13.103,1,33,1/1/1968,The Last Time I Saw Her,0.0292,113.562,0.169,1968
0.673,667794,['Gordon Lightfoot'],0.563,153427,0.496,0,Folk,2.49E-05,2,0.223,-13.059,1,32,1/1/1968,Did *** Mention My Name,0.0305,104.16,0.868,1968
0.831,667794,['Gordon Lightfoot'],0.43,217933,0.423,0,Folk,0.000131,5,0.409,-10.356,1,31,1/1/1968,Mountains And ******,0.0294,98.711,0.695,1968
