acousticness,artist_id,artist_names,danceability,duration_ms,energy,explicit,genre,instrumentalness,key,liveness,loudness,mode,popularity,release_date,song_title (censored),speechiness,tempo,valence,year
0.483,253397,['Dick Gaughan'],0.474,186973,0.48,0,International,1.43E-06,8,0.0641,-11.715,1,27,1/1/1981,Workers' Song,0.0398,113.117,0.411,1981
0.79,253397,['Dick Gaughan'],0.51,282160,0.221,0,International,0,4,0.0991,-16.965,1,23,1/1/1981,Now Westlin Winds,0.0337,128.126,0.195,1981
0.707,253397,['Dick Gaughan'],0.378,171893,0.453,0,International,0,3,0.109,-10.771,1,19,1/1/1981,The World Turned Upside Down,0.0384,77.714,0.683,1981
0.798,615026,['Asha Bhosle'],0.516,343453,0.46,0,International,2.68E-05,5,0.112,-11.782,1,33,12/1/1981,In Ankhon Ki Masti,0.0368,107.643,0.5,1981
0.726,615026,['Asha Bhosle'],0.531,280547,0.772,0,International,0,6,0.132,-7.216,1,38,1/1/1981,Tum Saath Ho Jab Apne - Kaalia / Soundtrack Version,0.0478,129.967,0.899,1981
0.791,615026,['Asha Bhosle'],0.573,368640,0.493,0,International,0.00138,5,0.18,-10.553,1,31,1/1/1981,"Puchho Na Yaar Kya Hua - From ""Zamaane Ko Dikhana Hai""",0.0349,102.576,0.674,1981
0.651,615026,['Asha Bhosle'],0.688,345480,0.78,0,International,0,3,0.148,-7.717,0,36,1/1/1981,Dukki Pe Dukki Ho - From 'Satte Pe Satta' / Soundtrack Version,0.132,121.689,0.907,1981
0.887,615026,['Asha Bhosle'],0.459,370027,0.652,0,International,1.48E-05,11,0.145,-4.233,1,35,12/1/1981,Dil Cheez Kya Hai,0.0406,125.104,0.519,1981
0.392,138833,['Fela Kuti'],0.606,1269520,0.873,0,International,7.60E-05,11,0.0942,-5.871,0,20,1/1/1981,Original Sufferhead,0.434,128.804,0.742,1981
0.882,652255,['Gilberto Gil'],0.419,256373,0.185,0,International,0.0957,7,0.131,-15.63,1,33,1981,Flora,0.0328,155.173,0.13,1981
0.511,652255,['Gilberto Gil'],0.734,266173,0.788,0,International,0.0774,1,0.326,-7.361,0,49,1981,Palco,0.0462,108.325,0.779,1981
0.63,132940,['Lata Mangeshkar'],0.519,285827,0.554,0,International,8.81E-06,6,0.401,-7.498,1,26,1/1/1981,Kasme Vaade Nibhayenge Hum - Part I - Kasme Vaade / Soundtrack Version,0.0322,134.497,0.634,1981
0.829,132940,['Lata Mangeshkar'],0.418,453400,0.603,0,International,0.00275,7,0.146,-6.816,0,48,1/1/1981,Humko Tumse Ho **** Hai Pyar - Amar Akbar Anthony / Soundtrack Version,0.0438,94.314,0.742,1981
0.903,132940,['Lata Mangeshkar'],0.415,355733,0.349,0,International,4.26E-06,9,0.592,-12.235,0,36,5/18/1981,Dekha Ek Khwab (with Dialogues),0.163,150.743,0.347,1981
0.825,132940,['Lata Mangeshkar'],0.371,474907,0.297,0,International,8.86E-05,7,0.197,-14.291,1,34,5/18/1981,Yeh Kahan Aa **** Hum,0.0349,100.426,0.319,1981
0.00674,1426748,['Prince'],0.576,262800,0.299,0,International,0.000559,9,0.113,-18.81,0,29,10/14/1981,Annie Christian,0.158,160.583,0.331,1981
0.0099,1426748,['Prince'],0.396,118293,0.767,0,International,0.447,2,0.366,-16.667,1,29,10/14/1981,"Ronnie, Talk to Russia",0.39,166.08,0.685,1981
0.00996,1426748,['Prince'],0.852,435333,0.321,0,International,0.239,1,0.0684,-17.139,0,54,10/14/1981,Controversy,0.0527,119.378,0.629,1981
0.144,1426748,['Prince'],0.612,463840,0.258,0,International,6.89E-05,1,0.3,-17.34,0,50,10/14/1981,"Do Me, Baby",0.071,70.208,0.343,1981
0.00583,1426748,['Prince'],0.817,234800,0.442,0,International,0.0107,9,0.052,-15.349,1,37,10/14/1981,Let's Work,0.138,119.884,0.903,1981
0.0174,1426748,['Prince'],0.82,269867,0.335,0,International,0.0257,4,0.675,-17.726,0,35,10/14/1981,Private Joy,0.136,142.545,0.949,1981
0.0257,1426748,['Prince'],0.781,261093,0.485,0,International,0.00344,2,0.0294,-18.037,1,34,10/14/1981,*********,0.0567,98.213,0.626,1981
0.00364,1426748,['Prince'],0.421,189440,0.365,0,International,3.22E-05,11,0.0518,-16.952,0,31,10/14/1981,**** U ***,0.148,205.486,0.862,1981
0.142,162794,['Shankar'],0.512,1433427,0.703,0,International,0.913,9,0.097,-14.213,1,29,5/25/1981,Ananda ********* Tillai Sankara,0.126,102.133,0.783,1981
0.935,781732,['Clannad'],0.43,349960,0.136,0,International,1.13E-06,9,0.0851,-15.605,0,35,1976,"Siúil, a Rún (Irish Love Song)",0.0415,135.483,0.341,1976
0.88,753104,['Andy Irvine'],0.548,425467,0.182,0,International,9.11E-05,7,0.137,-12.213,1,39,1976,Arthur McBride,0.0389,78.338,0.505,1976
0.302,797056,['Elis Regina'],0.491,261600,0.498,0,International,0,2,0.0734,-7.658,1,62,1/5/1976,Como Nossos Pais,0.0821,143.719,0.478,1976
0.449,797056,['Elis Regina'],0.51,260493,0.399,0,International,0,2,0.304,-11.324,1,32,1/1/1976,Como Nossos Pais,0.0996,143.357,0.573,1976
0.0308,138833,['Fela Kuti'],0.835,882547,0.859,0,International,0.603,2,0.0677,-7.684,0,21,1/1/1976,Upside Down,0.0633,110.977,0.786,1976
0.222,138833,['Fela Kuti'],0.774,922120,0.893,0,International,0.106,1,0.0896,-7.11,1,21,1/1/1976,Yellow Fever,0.163,103.711,0.686,1976
0.979,132940,['Lata Mangeshkar'],0.506,298580,0.315,0,International,5.73E-05,4,0.626,-10.438,1,42,12/30/1976,Kabhi Kabhi Mere Dil Mein - Duet,0.0316,110.703,0.398,1976
0.618,573410,['Maria Bethânia'],0.624,275907,0.671,0,International,1.38E-05,5,0.32,-6.232,1,52,1/1/1976,Olhos Nos Olhos,0.0382,134.586,0.201,1976
0.715,1016154,"['Pete ""El Conde"" Rodríguez']",0.744,312640,0.738,0,International,0.00741,10,0.0672,-4.751,0,47,1/1/1976,Catalina La O,0.0333,147.046,0.89,1976
0.97,781732,['Clannad'],0.26,201467,0.00658,0,International,0.684,0,0.0723,-28.937,1,26,7/20/1989,Lady ******,0.0449,119.475,0.167,1989
0.451,138833,['Fela Kuti'],0.829,1699893,0.564,0,International,0.0155,7,0.111,-8.801,0,25,1/1/1989,Beasts of No Nation,0.111,95.494,0.868,1989
0.231,243238,['Johnny Clegg'],0.68,254667,0.909,0,International,8.05E-05,2,0.109,-7.577,1,39,1989,Dela,0.0308,102.501,0.899,1989
0.788,132940,['Lata Mangeshkar'],0.389,354427,0.372,0,International,0.00374,8,0.0903,-12.354,1,34,12/1/1989,Dil Deewana - ****** Vocals,0.041,80.517,0.614,1989
0.667,132940,['Lata Mangeshkar'],0.546,204360,0.436,0,International,0.0223,8,0.337,-11.929,1,31,12/1/1989,Aate Jaate Hanste Gaate,0.0353,120.644,0.466,1989
0.547,1482685,['Madonna'],0.576,298760,0.268,0,International,5.17E-05,0,0.118,-14.313,1,41,3/21/1989,Oh ******,0.0294,115.952,0.175,1989
0.231,1482685,['Madonna'],0.719,303200,0.819,0,International,0.0222,7,0.0808,-10.579,0,35,3/21/1989,Keep It Together,0.0448,103.078,0.794,1989
0.36,1482685,['Madonna'],0.703,317707,0.319,0,International,0,9,0.0958,-12.911,0,42,3/21/1989,Pray for Spanish Eyes,0.0272,108.519,0.483,1989
0.755,1482685,['Madonna'],0.702,261507,0.26,0,International,0,2,0.304,-16.885,1,42,3/21/1989,Dear Jessie,0.0449,126.838,0.897,1989
0.112,1482685,['Madonna'],0.615,318467,0.783,0,International,0.0011,11,0.0428,-11.862,0,36,3/21/1989,Till Death Do Us Part,0.0289,143.783,0.977,1989
0.434,1482685,['Madonna'],0.771,292800,0.457,0,International,0.000179,0,0.135,-12.277,0,34,3/21/1989,Love Song,0.255,158.558,0.675,1989
0.922,1482685,['Madonna'],0.344,218067,0.0659,0,International,2.89E-06,10,0.128,-21.976,1,37,3/21/1989,Promise to Try,0.0428,113.972,0.379,1989
0.432,1482685,['Madonna'],0.66,340867,0.629,0,International,7.30E-05,5,0.172,-12.359,1,63,3/21/1989,Like a Prayer,0.0387,111.926,0.324,1989
0.323,1482685,['Madonna'],0.703,303493,0.685,0,International,0.000567,2,0.0537,-11.581,1,48,3/21/1989,Cherish,0.033,131.842,0.963,1989
0.356,1482685,['Madonna'],0.747,279133,0.866,0,International,2.81E-05,0,0.0915,-10.529,1,49,3/21/1989,Express Yourself,0.0289,115.492,0.946,1989
0.771,313128,['Mary Black'],0.586,242680,0.204,0,International,0,0,0.0934,-15.326,1,41,1/1/1989,No Frontiers,0.0367,126.925,0.311,1989
0.0165,1426748,['Prince'],0.88,247400,0.37,0,International,0.0406,2,0.512,-10.425,0,37,6/20/1989,The Future,0.19,124.799,0.611,1989
0.0787,1426748,['Prince'],0.549,248867,0.744,0,International,0.04,0,0.0892,-11.395,1,34,6/20/1989,Electric Chair,0.0758,202.461,0.823,1989
0.022,1426748,['Prince'],0.803,292240,0.566,0,International,0,5,0.346,-11.765,0,32,6/20/1989,Vicki Waiting,0.0385,107.797,0.841,1989
0.56,1426748,['Prince'],0.604,302973,0.316,0,International,1.18E-05,2,0.0905,-14.674,1,32,6/20/1989,The Arms of Orion,0.0302,129.693,0.391,1989
0.059,1426748,['Prince'],0.776,255400,0.78,0,International,0.0543,7,0.105,-10.033,1,30,6/20/1989,Lemon Crush,0.0648,120.701,0.611,1989
0.0521,1426748,['Prince'],0.846,191560,0.617,0,International,0.00109,9,0.797,-11.6,1,56,6/20/1989,Partyman,0.0806,117.75,0.835,1989
0.293,1426748,['Prince'],0.761,375707,0.404,0,International,0.00105,1,0.0559,-11.977,1,48,6/20/1989,Scandalous,0.0641,124.524,0.509,1989
0.168,1426748,['Prince'],0.594,373733,0.702,0,International,0.109,1,0.142,-9.894,1,47,6/20/1989,Batdance,0.0842,135.406,0.466,1989
0.00746,1426748,['Prince'],0.698,264027,0.705,0,International,0.00558,1,0.187,-10.704,1,37,6/20/1989,Trust,0.0477,137.387,0.945,1989
0.314,253914,['Wayne Toups'],0.619,199227,0.468,0,International,0.000191,9,0.0745,-10.185,1,29,1/1/1989,Let's Fall In Love (All Over ******,0.0297,133.771,0.298,1989
0.055,253914,['Wayne Toups'],0.54,184040,0.72,0,International,0.000527,7,0.437,-9.679,1,24,1/1/1989,Sugar Bee,0.0358,147.403,0.837,1989
0.62,253914,['Wayne Toups'],0.478,277525,0.39,0,International,0,5,0.173,-10.346,1,24,1/1/1989,Tell It Like It Is,0.04,182.33,0.377,1989
0.0636,253914,['Wayne Toups'],0.432,204973,0.866,0,International,0.00707,2,0.291,-9.14,1,23,1/1/1989,Two-Step Mamou,0.0587,176.049,0.612,1989
0.351,253914,['Wayne Toups'],0.683,316040,0.47,0,International,0,9,0.226,-8.653,1,34,1/1/1989,Tupelo Honey,0.0312,121.995,0.347,1989
0.901,781732,['Clannad'],0.257,315933,0.284,0,International,0.037,9,0.0981,-18.761,1,39,2/12/1993,"I Will Find You (Theme from ""The Last of the Mohicans"") - Remastered",0.0332,180.28,0.141,1993
0.59,573410,['Maria Bethânia'],0.404,224773,0.238,0,International,1.30E-06,9,0.103,-13.005,1,57,1/1/1993,As Canções Que Você Fez Pra Mim,0.0623,79.41,0.302,1993
0.827,891907,['Orchestra Baobab'],0.507,396467,0.488,0,International,0.535,9,0.109,-12.5,0,39,6/14/1993,Mouhamadou Bamba,0.044,88.511,0.588,1993
0.568,1426748,['Prince'],0.731,374893,0.435,1,International,8.53E-05,1,0.0901,-8.338,1,36,9/13/1993,Pink Cashmere,0.0465,167.142,0.861,1993
