acousticness,artist_id,artist_names,danceability,duration_ms,energy,explicit,genre,instrumentalness,key,liveness,loudness,mode,popularity,release_date,song_title (censored),speechiness,tempo,valence,year
0.0985,935117,"[""N'Dea Davenport""]",0.782,243267,0.613,0,Jazz,0.000472,6,0.084,-11.451,0,42,1/1/1993,When You're Near,0.0864,92.069,0.634,1993
0.735,159791,['Toots Thielemans'],0.715,216360,0.406,0,Jazz,0.649,4,0.11,-17.926,0,52,1993,Samba de Orfeu,0.0573,104.756,0.65,1993
0.0211,45379,['Branford Marsalis'],0.655,238293,0.756,0,Jazz,0.000292,6,0.282,-11.408,1,41,1/1/1993,Transit Ride,0.239,93.026,0.882,1993
0.819,110541,['Chick Corea'],0.351,216707,0.209,0,Jazz,0.914,10,0.102,-23.533,0,40,1/1/1993,My One And Only Love,0.0361,159.504,0.448,1993
0.673,110541,['Chick Corea'],0.503,191933,0.344,0,Jazz,0.381,1,0.096,-19.024,1,49,1/1/1993,Windows,0.0369,108.489,0.468,1993
0.0972,961133,['Dave Koz'],0.733,257463,0.698,0,Jazz,0.000359,5,0.0449,-8.719,0,29,1/1/1993,You Make Me Smile,0.0345,90.991,0.861,1993
0.0694,149946,['Donald Byrd'],0.716,279640,0.58,0,Jazz,6.71E-06,10,0.906,-12.747,0,55,1/1/1993,Loungin',0.239,99.077,0.707,1993
0.25,245760,['Les McCann'],0.481,322080,0.259,0,Jazz,0.798,6,0.0957,-15.444,1,39,7/16/1993,********* I Cry,0.0322,135.941,0.541,1993
0.505,245760,['Les McCann'],0.508,398760,0.779,0,Jazz,0.298,2,0.0995,-9.032,0,40,7/16/1993,Burnin' Coal,0.0403,79.528,0.893,1993
0.317,245760,['Les McCann'],0.675,355267,0.492,0,Jazz,0.0579,0,0.545,-14.223,1,31,7/16/1993,Harlem Buck Dance Strut,0.0403,96.794,0.632,1993
0.489,228058,['Lonnie Liston Smith'],0.498,288000,0.694,0,Jazz,0.000854,5,0.365,-11.291,0,39,1/1/1993,Down The Backstreets,0.0867,78.882,0.609,1993
0.0639,418519,['Mingus Big Band'],0.392,539360,0.683,0,Jazz,0.000599,8,0.392,-9.654,1,40,7/1/1993,Moanin',0.125,115.934,0.593,1993
0.831,317093,['Nat King Cole'],0.448,226973,0.179,0,Jazz,0,8,0.175,-15.584,1,37,1/1/1993,These Foolish Things (Remind Me Of You),0.0572,130.166,0.265,1993
0.0619,345168,['Roy Ayers'],0.673,239067,0.62,0,Jazz,2.90E-06,1,0.0831,-10.63,1,47,1/1/1993,Take A Look (At Yourself),0.051,83.902,0.783,1993
0.676,30925,['Shirley Horn'],0.659,191827,0.275,0,Jazz,2.77E-05,2,0.0965,-17.4,0,47,9/21/1993,Hit The Road ****,0.0507,146.242,0.434,1993
0.0277,22020,['Tribal Tech'],0.566,424973,0.887,0,Jazz,0.906,7,0.127,-10.24,1,40,7/16/1993,Face First,0.0529,123.935,0.527,1993
0.562,684253,['Wynton Kelly'],0.558,186137,0.327,0,Jazz,7.93E-06,10,0.0832,-17.102,1,32,1/1/1993,******* My Prince Will Come,0.0395,114.097,0.252,1993
0.537,596922,['Yusef Lateef'],0.623,466120,0.539,0,Jazz,0.174,7,0.569,-14.088,0,40,1/1/1993,"Oscarlypso - Live At Pep's Lounge, Philadelphia / ****",0.0463,112.512,0.817,1993
0.658,14263,"[""Paquito D'Rivera""]",0.553,291457,0.638,0,Jazz,0.839,10,0.141,-8.383,1,33,1981,Cómo Fue,0.031,96.092,0.443,1981
0.0267,684612,['Yellowjackets'],0.531,329627,0.625,0,Jazz,0.726,8,0.212,-13.603,1,29,6/10/1981,Imperial Strut,0.0354,127.822,0.814,1981
0.175,684612,['Yellowjackets'],0.61,312373,0.647,0,Jazz,0.926,0,0.0421,-15.759,1,41,6/10/1981,Matinee Idol,0.0378,108.528,0.889,1981
0.924,74005,['Bill Evans'],0.442,244786,0.2,0,Jazz,0.896,0,0.257,-18.981,0,35,2/2/1981,We Will Meet ***** - Remastered,0.0396,78.834,0.228,1981
0.832,74005,['Bill Evans'],0.387,454267,0.452,0,Jazz,0.866,5,0.116,-14.457,0,32,2/2/1981,Freddie Freeloader - Remastered,0.0471,80.203,0.569,1981
0.915,74005,['Bill Evans'],0.477,362946,0.445,0,Jazz,0.925,6,0.226,-13.384,1,34,2/2/1981,Theme From M*A*S*H (Suicide Is Painless) - Remastered,0.0374,77.877,0.314,1981
0.94,74005,['Bill Evans'],0.388,489733,0.472,0,Jazz,0.873,9,0.0709,-15.203,0,31,2/2/1981,All Of You - Remastered,0.0365,99.582,0.208,1981
