acousticness,artist_id,artist_names,danceability,duration_ms,energy,explicit,genre,instrumentalness,key,liveness,loudness,mode,popularity,release_date,song_title (censored),speechiness,tempo,valence,year
0.402,894831,"[""Oscar D'León""]",0.524,323408,0.859,0,Latin,0.0413,9,0.34,-9.365,0,38,1/1/1990,Melao De Caña,0.0536,170.532,0.839,1990
0.492,894831,"[""Oscar D'León""]",0.63,296391,0.723,0,Latin,0,10,0.0788,-6.888,0,38,1/1/1990,Comuniquémonos,0.0523,178.207,0.931,1990
0.595,894831,"[""Oscar D'León""]",0.744,330293,0.829,0,Latin,0.00518,7,0.254,-2.963,0,35,1/1/1990,Bravo De Verdad,0.0479,93.949,0.939,1990
0.599,894831,"[""Oscar D'León""]",0.553,318392,0.64,0,Latin,0.000982,0,0.0693,-8.475,1,36,1/1/1990,Calculadora,0.0403,74.998,0.904,1990
0.158,894831,"[""Oscar D'León""]",0.679,273403,0.768,0,Latin,1.86E-05,5,0.259,-4.94,0,35,1/1/1990,Siéntate Ahí,0.035,87.088,0.888,1990
0.691,894831,"[""Oscar D'León""]",0.727,307281,0.777,0,Latin,0.000572,0,0.109,-4.979,1,41,1/1/1990,Ven Morena,0.0452,108.886,0.963,1990
0.246,894831,"[""Oscar D'León""]",0.566,298434,0.839,0,Latin,7.94E-05,5,0.249,-4.604,1,39,1/1/1990,Mi Bajo Y Yo (Ese Es Mi Amigo),0.0392,106.828,0.966,1990
0.479,607283,['Tito Puente'],0.748,154773,0.745,0,Latin,0.293,7,0.06,-5.127,1,27,1/1/1990,El Cayuco,0.05,127.81,0.89,1990
0.167,617536,['Alejandra Guzmán'],0.748,206947,0.832,0,Latin,6.70E-05,0,0.26,-7.526,1,49,1990,Eternamente Bella,0.0272,114.119,0.969,1990
0.13,617536,['Alejandra Guzmán'],0.579,262800,0.454,0,Latin,2.50E-06,4,0.0628,-9.351,0,44,1990,Llama Por Favor,0.0267,84.627,0.226,1990
0.503,617536,['Alejandra Guzmán'],0.588,213533,0.537,0,Latin,0,2,0.18,-8.388,1,35,1990,Cuidado Con El Corazon,0.0309,141.118,0.483,1990
0.209,749671,['Ana Gabriel'],0.687,211000,0.408,0,Latin,4.51E-05,8,0.149,-13.045,1,53,1990,Quién Como Tú,0.0328,140.482,0.366,1990
