acousticness,artist_id,artist_names,danceability,duration_ms,energy,explicit,genre,instrumentalness,key,liveness,loudness,mode,popularity,release_date,song_title (censored),speechiness,tempo,valence,year
0.805,13101,"[""Patrick O'Hearn""]",0.559,289280,0.23,0,New Age,0.876,7,0.0776,-20.178,0,47,1/1/2001,Beyond This Moment,0.0309,151.987,0.461,2001
0.977,13101,"[""Patrick O'Hearn""]",0.0992,530800,0.012,0,New Age,0.963,3,0.0972,-29.215,0,43,1/1/2001,A Lovely Place to Be,0.0407,89.717,0.0342,2001
0.974,988471,['Enya'],0.215,257760,0.169,0,New Age,0.0585,9,0.0907,-17.88,1,64,11/19/2001,May It Be,0.0402,132.925,0.0547,2001
0.0824,359555,['Karunesh'],0.0912,334707,0.224,0,New Age,0.207,0,0.0928,-13.545,0,48,7/10/2001,******* Wisdom,0.0393,59.592,0.0376,2001
0.0887,774983,['Krishna Das'],0.26,838560,0.747,0,New Age,0.000233,0,0.0686,-7.796,1,54,2001,Baba Hanuman,0.0571,148.412,0.31,2001
0.62,157377,['Ottmar Liebert'],0.707,246693,0.693,0,New Age,0.861,7,0.074,-9.299,1,47,1/1/2001,Barcelona ******,0.0317,115.809,0.773,2001
0.554,585874,['Acoustic Alchemy'],0.621,364040,0.704,0,New Age,0.385,11,0.0542,-10.276,0,33,1/1/1991,Playing For Time,0.038,89.939,0.91,1991
0.983,185440,['David Lanz'],0.341,565987,0.0667,0,New Age,0.917,2,0.0642,-23.261,1,35,1/1/1991,Variations On A Theme From Pachelbel's Canon In D Major,0.0485,117.294,0.0808,1991
0.974,185440,['David Lanz'],0.467,200827,0.09,0,New Age,0.916,9,0.0573,-20.992,1,33,1/1/1991,Return To The Heart,0.0652,92.284,0.138,1991
0.771,988471,['Enya'],0.399,220560,0.45,0,New Age,0.945,4,0.114,-10.741,1,29,1991,Caribbean **** - Single Version,0.0309,157.605,0.671,1991
0.776,988471,['Enya'],0.386,239600,0.319,0,New Age,0.965,4,0.106,-16.512,1,54,11/15/1991,Caribbean ****,0.0332,157.614,0.661,1991
0.62,988471,['Enya'],0.535,175000,0.215,0,New Age,0.463,8,0.245,-16.667,1,48,11/15/1991,Book of Days,0.0319,119.942,0.194,1991
0.987,988471,['Enya'],0.321,224933,0.015,0,New Age,0.935,5,0.108,-28.528,1,47,11/15/1991,******** Moons,0.0334,64.624,0.047,1991
0.93,988471,['Enya'],0.473,116093,0.141,0,New Age,0.000636,8,0.125,-23.508,1,46,11/15/1991,Ebudae,0.0408,77.447,0.358,1991
0.983,988471,['Enya'],0.251,234627,0.0841,0,New Age,0.0248,10,0.107,-22.231,1,46,11/15/1991,Marble Halls,0.0572,95.417,0.151,1991
0.933,988471,['Enya'],0.467,127667,0.134,0,New Age,0.82,8,0.13,-19.911,1,45,11/15/1991,Lothlórien,0.0369,88.22,0.236,1991
0.936,988471,['Enya'],0.234,254093,0.102,0,New Age,0.00411,2,0.0926,-20.438,1,40,11/15/1991,How Can I Keep from Singing?,0.0392,96.12,0.0393,1991
0.941,988471,['Enya'],0.117,241267,0.0813,0,New Age,0.0777,0,0.173,-21.552,1,39,11/15/1991,Angeles,0.0384,80.574,0.0594,1991
0.91,988471,['Enya'],0.182,230707,0.108,0,New Age,0.00894,1,0.093,-21.183,1,38,11/15/1991,Evacuee,0.0414,79.565,0.0512,1991
0.852,988471,['Enya'],0.35,246400,0.21,0,New Age,0.109,10,0.108,-20.038,1,38,11/15/1991,Afer Ventus,0.0292,95.458,0.12,1991
