acousticness,artist_id,artist_names,danceability,duration_ms,energy,explicit,genre,instrumentalness,key,liveness,loudness,mode,popularity,release_date,song_title (censored),speechiness,tempo,valence,year
0.108,625201,"[""Alexander O'Neal""]",0.761,304427,0.702,0,R&B;,3.13E-05,7,0.0935,-8.523,1,34,1/1/1991,All True Man,0.0389,104.773,0.85,1991
0.635,309458,"[""Screamin' Jay Hawkins""]",0.729,145867,0.442,0,R&B;,0.0233,5,0.106,-11.594,0,38,8/13/1991,I Put a Spell On You,0.0705,173.953,0.942,1991
0.665,582253,['Aaron Neville'],0.496,185627,0.271,0,R&B;,2.17E-05,7,0.12,-14.675,1,31,1/1/1991,Louisiana ****,0.0423,131.735,0.154,1991
0.224,582253,['Aaron Neville'],0.789,266107,0.352,0,R&B;,0.00147,10,0.0536,-14.022,1,39,1/1/1991,Everybody Plays The Fool,0.143,87.894,0.431,1991
0.444,933172,['Allen Toussaint'],0.722,213267,0.435,0,R&B;,0.0428,9,0.143,-12.596,1,33,1991,Country John,0.0395,105.852,0.875,1991
0.193,933172,['Allen Toussaint'],0.862,256867,0.42,0,R&B;,9.75E-06,6,0.108,-15.653,1,40,1991,***** People,0.0848,92.325,0.672,1991
0.0369,494746,['Another Bad Creation'],0.713,261957,0.792,0,R&B;,0,8,0.0309,-9.788,1,31,1991,Iesha,0.158,111.86,0.68,1991
0.101,494746,['Another Bad Creation'],0.788,249836,0.774,0,R&B;,0,6,0.94,-11.399,1,36,1991,Playground,0.111,110.491,0.784,1991
0.492,509356,['Atlantic Starr'],0.642,295347,0.448,0,R&B;,1.74E-05,5,0.0646,-10.418,0,50,10/25/1991,Masterpiece,0.0259,137.831,0.299,1991
0.0115,61226,['Babyface'],0.562,352867,0.528,0,R&B;,0.00064,9,0.33,-11.893,0,41,11/19/1991,Two Occasions (Live) - Live Version,0.0292,85.194,0.384,1991
0.0379,149044,['Barry White'],0.612,345267,0.697,0,R&B;,6.84E-05,6,0.0311,-9.353,0,29,1/1/1991,Volare,0.0592,68.397,0.796,1991
0.0159,127063,['Bell Biv DeVoe'],0.791,397960,0.706,0,R&B;,3.50E-06,1,0.11,-8.772,1,30,1/1/1991,Word To The ****!,0.041,108.16,0.786,1991
0.0716,96379,['Boyz II Men'],0.586,350573,0.39,0,R&B;,0,8,0.0824,-11.205,1,38,4/30/1991,"Al Final Del Camino (End Of The Road, Spanish Version)",0.0273,149.256,0.474,1991
0.00106,96379,['Boyz II Men'],0.647,231640,0.657,0,R&B;,0.0003,9,0.197,-12.479,0,33,4/30/1991,Motownphilly - Remix Radio Edit,0.0429,114.637,0.756,1991
