acousticness,artist_id,artist_names,danceability,duration_ms,energy,explicit,genre,instrumentalness,key,liveness,loudness,mode,popularity,release_date,song_title (censored),speechiness,tempo,valence,year
0.8,790988,['Toots & the Maytals'],0.811,206173,0.258,0,Reggae,0.000206,0,0.459,-14.913,1,41,1993,5446 Was My Number,0.259,78.98,0.519,1993
0.681,790988,['Toots & the Maytals'],0.64,179240,0.618,0,Reggae,1.35E-05,3,0.265,-12.085,1,37,1993,Sweet And Dandy,0.14,156.894,0.96,1993
0.766,790988,['Toots & the Maytals'],0.876,224600,0.544,0,Reggae,0.62,10,0.082,-13.896,1,41,1993,Monkey Man,0.0476,127.456,0.967,1993
0.485,156938,['Shaggy'],0.849,190893,0.832,0,Reggae,0,0,0.343,-7.83,1,45,1/1/1993,Oh Carolina,0.128,124.558,0.939,1993
0.118,156938,['Shaggy'],0.875,206093,0.815,0,Reggae,0,5,0.0788,-7.71,1,45,1/1/1993,Big Up,0.0634,98.943,0.85,1993
0.0429,138063,['Barrington Levy'],0.863,273000,0.521,0,Reggae,0,5,0.0692,-9.403,0,45,1/1/1993,Under My Sensi,0.277,86.965,0.398,1993
0.206,939187,['Buju Banton'],0.784,227867,0.406,1,Reggae,0,0,0.0731,-10.199,1,38,1993,Love Me ********,0.152,81.995,0.763,1993
0.013,939187,['Buju Banton'],0.631,218160,0.405,1,Reggae,0,7,0.0587,-13.744,1,41,1993,Love How The **** Flex,0.529,119.682,0.734,1993
0.0141,939187,['Buju Banton'],0.718,304600,0.756,0,Reggae,3.46E-05,10,0.0628,-7.648,0,36,1993,Make My Day,0.0838,94.654,0.888,1993
0.23,939187,['Buju Banton'],0.674,236507,0.292,1,Reggae,0,1,0.214,-14.866,1,36,1993,Who Say,0.212,84.941,0.699,1993
0.13,939187,['Buju Banton'],0.829,237133,0.555,1,Reggae,0,11,0.0407,-10.124,1,37,1993,Batty Rider,0.452,97.647,0.945,1993
0.0524,939187,['Buju Banton'],0.759,217440,0.46,1,Reggae,0,0,0.144,-12.436,1,33,1993,Love Black Woman,0.503,164.07,0.941,1993
0.0222,939187,['Buju Banton'],0.729,223960,0.629,1,Reggae,0,6,0.0662,-13.702,1,33,1993,******,0.285,92.121,0.76,1993
0.072,161436,['Chaka Demus & Pliers'],0.851,246493,0.703,0,Reggae,0,10,0.201,-9.814,0,47,1/1/1993,*** Don't Let ******,0.12,89.789,0.644,1993
0.0961,161436,['Chaka Demus & Pliers'],0.95,246333,0.554,0,Reggae,0,8,0.226,-10.329,1,46,1/1/1993,Tease Me,0.0744,136.538,0.909,1993
0.161,161436,['Chaka Demus & Pliers'],0.883,245000,0.733,0,Reggae,0.00026,11,0.334,-9.153,0,65,1/1/1993,**** *** Wrote,0.128,95.103,0.947,1993
