acousticness,artist_id,artist_names,danceability,duration_ms,energy,explicit,genre,instrumentalness,key,liveness,loudness,mode,popularity,release_date,song_title (censored),speechiness,tempo,valence,year
0.576,942624,"[""Caedmon's Call""]",0.545,281400,0.464,0,Religious,8.74E-05,8,0.126,-11.483,1,40,1999,Faith My Eyes,0.031,82.015,0.643,1999
0.00997,760389,['Audio Adrenaline'],0.707,195347,0.848,0,Religious,0,2,0.0994,-4.489,1,36,1/1/1999,Get Down,0.0481,111.984,0.864,1999
0.0344,987922,['CeCe Winans'],0.79,264893,0.869,0,Religious,0,1,0.25,-4.673,1,37,1/1/1999,King Of Kings (He's A Wonder),0.195,103.954,0.827,1999
0.855,987922,['CeCe Winans'],0.319,332973,0.329,0,Religious,1.86E-06,2,0.0864,-7.433,1,45,1/1/1999,Alabaster Box,0.0324,128.659,0.205,1999
0.439,184451,['Greater Vision'],0.703,202747,0.653,0,Religious,0,6,0.305,-7.979,1,34,3/1/1999,My Name Is Lazarus,0.0297,115.896,0.869,1999
0.208,104217,['Jaci Velasquez'],0.485,272827,0.559,0,Religious,1.58E-06,5,0.132,-7.551,0,45,8/27/1999,Llegar A Ti,0.0284,143.824,0.343,1999
0.796,321944,['Matt Redman'],0.529,320600,0.244,0,Religious,4.53E-05,3,0.105,-11.625,1,46,1/1/1999,The Heart Of Worship,0.0283,139.725,0.246,1999
0.245,354631,['Men of Standard'],0.654,293333,0.457,0,Religious,0,1,0.0361,-10.286,1,43,1/1/1999,In Your Will,0.035,131.92,0.429,1999
0.845,44068,['Steven Curtis Chapman'],0.371,199280,0.218,0,Religious,4.03E-06,4,0.328,-12.101,1,37,1/1/1999,Be Still And Know,0.0336,59.957,0.173,1999
0.0639,44068,['Steven Curtis Chapman'],0.674,237709,0.883,0,Religious,1.33E-05,8,0.55,-5.441,1,44,1/1/1999,Dive,0.0513,108.023,0.862,1999
0.206,590483,['Third Day'],0.604,236173,0.577,0,Religious,4.06E-06,7,0.15,-6.925,1,41,1999,Your Love Oh Lord (Psalm 36),0.0435,89.239,0.49,1999
0.17,590483,['Third Day'],0.549,267640,0.77,0,Religious,0.000724,4,0.245,-4.842,1,38,1999,I've Always Loved You,0.0247,95.047,0.246,1999
0.7,690718,['Yolanda Adams'],0.414,340040,0.402,0,Religious,0,10,0.363,-8.911,0,50,9/10/1999,Open My Heart,0.0427,105.368,0.171,1999
0.483,690718,['Yolanda Adams'],0.381,417707,0.668,0,Religious,0,0,0.294,-5.731,1,42,9/10/1999,In the Midst of It All,0.118,87.508,0.338,1999
0.513,609966,"[""The Highway Q.C.'s""]",0.334,143609,0.367,0,Religious,0,0,0.103,-12.629,1,7,1/1/1960,********* To Lay My Head,0.0459,98.255,0.42,1960
0.761,609966,"[""The Highway Q.C.'s""]",0.518,174690,0.214,0,Religious,1.15E-05,1,0.199,-14.868,1,5,1/1/1960,The Way Up The Hill,0.0322,128.639,0.336,1960
0.311,1416172,['Jack Johnson'],0.891,174840,0.618,0,Religious,0.00499,4,0.0936,-8.742,0,46,1/1/2003,Holes To Heaven,0.0584,93.041,0.792,2003
0.0136,1416172,['Jack Johnson'],0.803,153627,0.927,0,Religious,0.0108,6,0.0768,-5.408,1,46,1/1/2003,The Horizon Has Been Defeated - Single Version,0.185,168.002,0.385,2003
0.507,1416172,['Jack Johnson'],0.905,132947,0.504,0,Religious,0.0439,2,0.253,-9.212,1,46,1/1/2003,Dreams Be Dreams,0.0383,112.003,0.753,2003
0.248,1416172,['Jack Johnson'],0.751,170733,0.645,0,Religious,0,2,0.331,-6.026,1,45,1/1/2003,Tomorrow Morning,0.146,139.989,0.508,2003
0.334,1416172,['Jack Johnson'],0.712,176773,0.714,0,Religious,0.195,1,0.106,-6.099,0,46,1/1/2003,Cookie Jar,0.0369,151.393,0.739,2003
0.832,1416172,['Jack Johnson'],0.683,65747,0.238,0,Religious,0,4,0.127,-10.127,0,45,1/1/2003,*****,0.0503,126.326,0.731,2003
0.417,1416172,['Jack Johnson'],0.737,250880,0.391,0,Religious,0.000572,9,0.133,-8.735,1,45,1/1/2003,******,0.0293,76.038,0.351,2003
0.506,1416172,['Jack Johnson'],0.607,95880,0.367,0,Religious,0.00209,2,0.153,-9.715,1,44,1/1/2003,Fall Line,0.0389,150.222,0.738,2003
0.376,1416172,['Jack Johnson'],0.735,179920,0.477,0,Religious,0.0812,4,0.476,-7.313,0,44,1/1/2003,Mediocre Bad Guys,0.0983,132.139,0.561,2003
0.703,1416172,['Jack Johnson'],0.682,170293,0.617,0,Religious,0.141,9,0.422,-8.47,1,43,1/1/2003,Symbol In My Driveway,0.0257,88.367,0.555,2003
0.147,1416172,['Jack Johnson'],0.805,239280,0.729,0,Religious,0.0422,0,0.104,-7.94,1,61,1/1/2003,Taylor,0.147,174.189,0.569,2003
