acousticness,artist_id,artist_names,danceability,duration_ms,energy,explicit,genre,instrumentalness,key,liveness,loudness,mode,popularity,release_date,song_title (censored),speechiness,tempo,valence,year
0.969,931869,['Alan Silvestri'],0.169,237027,0.163,0,Stage & Screen,0.774,5,0.24,-16.613,1,39,10/6/1998,Practical Magic,0.041,74.185,0.0383,1998
0.894,150530,['James Horner'],0.157,240800,0.00891,0,Stage & Screen,0.742,2,0.0417,-38.223,1,42,4/3/1998,The Wedding - ************,0.0416,133.822,0.0343,1998
0.995,150530,['James Horner'],0.276,283173,0.0142,0,Stage & Screen,0.922,5,0.0619,-35.587,1,49,11/16/1998,The Portrait,0.0674,211.429,0.127,1998
0.746,330634,['Jerry Goldsmith'],0.109,387400,0.0746,0,Stage & Screen,0.398,9,0.0439,-21.94,0,38,1/1/1998,"Blossoms - From ""Mulan""/Score",0.042,77.951,0.0392,1998
0.796,330634,['Jerry Goldsmith'],0.353,299320,0.171,0,Stage & Screen,0.821,9,0.148,-20.332,1,37,1/1/1998,"Attack At The Wall - From ""Mulan""/Score",0.0423,120.211,0.0791,1998
0.0258,330634,['Jerry Goldsmith'],0.427,78987,0.903,0,Stage & Screen,0.805,0,0.113,-8.804,0,40,1/1/1998,"Haircut - From ""Mulan""/Score",0.0488,158.428,0.188,1998
0.845,330634,['Jerry Goldsmith'],0.296,269907,0.248,0,Stage & Screen,0.867,5,0.0675,-17.329,0,34,1/1/1998,"The Hun's Attack - From ""Mulan""/Score",0.038,130.121,0.096,1998
0.527,330634,['Jerry Goldsmith'],0.0698,353320,0.0618,0,Stage & Screen,0.937,4,0.157,-25.277,0,35,1/1/1998,"The Burned-Out Village - From ""Mulan""/Score",0.0458,61.254,0.0373,1998
0.794,330634,['Jerry Goldsmith'],0.143,426293,0.102,0,Stage & Screen,0.893,0,0.27,-19.646,1,46,1/1/1998,"Suite From Mulan - From ""Mulan""/Score",0.0358,93.016,0.0761,1998
0.609,330634,['Jerry Goldsmith'],0.192,203080,0.26,0,Stage & Screen,0.816,10,0.139,-19.274,0,41,1/1/1998,"Mulan's Decision - From ""Mulan""/Score",0.0493,86.83,0.0573,1998
0.884,923497,['Thomas Newman'],0.173,342973,0.0385,0,Stage & Screen,0.928,1,0.0966,-28.032,1,42,1/1/1998,Whisper Of A Thrill,0.0407,126.355,0.0555,1998
0.968,923497,['Thomas Newman'],0.211,112267,0.0166,0,Stage & Screen,0.912,5,0.0907,-31.533,1,40,1/1/1998,Walkaway,0.0413,63.128,0.0661,1998
0.831,931869,['Alan Silvestri'],0.224,66227,0.4,0,Stage & Screen,0.754,5,0.123,-10.157,1,50,1/1/2011,Captain America,0.0306,94.672,0.33,2011
0.113,3595,['Andrew Lloyd Webber'],0.517,316853,0.742,0,Stage & Screen,3.76E-05,0,0.0936,-11.13,0,51,1/1/2011,The Phantom Of The Opera - Live At The Royal Albert *********,0.0762,119.94,0.291,2011
0.145,519954,['Brian Tyler'],0.437,130907,0.392,0,Stage & Screen,0.783,10,0.104,-13.024,1,52,11/8/2011,**** Of Duty: MW3,0.03,98.041,0.256,2011
0.777,149173,['Carter Burwell'],0.124,363573,0.165,0,Stage & Screen,0.849,7,0.0735,-16.056,1,43,11/4/2011,Love Death Birth,0.0369,175.161,0.0427,2011
0.682,45941,['Sutton Foster'],0.617,348253,0.438,0,Stage & Screen,0.00218,7,0.28,-8.707,1,49,9/6/2011,Anything Goes,0.17,98.823,0.725,2011
0.909,931869,['Alan Silvestri'],0.0695,163360,0.0861,0,Stage & Screen,0.933,3,0.111,-19.536,1,41,11/17/1992,Theme From The Bodyguard,0.043,71.159,0.0368,1992
0.959,3595,['Andrew Lloyd Webber'],0.209,99293,0.0416,0,Stage & Screen,0.0845,11,0.111,-26.549,1,34,1/1/1992,Prologue,0.0433,87.595,0.253,1992
0.19,3595,['Andrew Lloyd Webber'],0.553,181800,0.438,0,Stage & Screen,0,5,0.359,-17.365,1,33,1/1/1992,One More Angel In Heaven,0.0704,109.867,0.523,1992
0.406,3595,['Andrew Lloyd Webber'],0.705,156827,0.509,0,Stage & Screen,0,5,0.232,-15.415,1,33,1/1/1992,"Poor, Poor Joseph",0.218,109.978,0.656,1992
0.739,3595,['Andrew Lloyd Webber'],0.619,187867,0.223,0,Stage & Screen,0,0,0.564,-19.438,1,32,1/1/1992,Pharaoh Story,0.0399,123.898,0.431,1992
0.28,3595,['Andrew Lloyd Webber'],0.573,176667,0.56,0,Stage & Screen,0,5,0.445,-14.697,1,32,1/1/1992,Benjamin Calypso,0.105,73.747,0.68,1992
0.884,3595,['Andrew Lloyd Webber'],0.344,280267,0.139,0,Stage & Screen,8.49E-06,5,0.262,-19.478,0,31,1/1/1992,Those Canaan Days,0.0413,131.181,0.207,1992
0.694,41431,['Angelo Badalamenti'],0.57,246240,0.361,0,Stage & Screen,0.947,1,0.11,-18.864,1,40,1992,The Pink Room,0.0258,104.954,0.521,1992
0.743,41431,['Angelo Badalamenti'],0.24,406133,0.033,0,Stage & Screen,0.00821,5,0.111,-19.838,0,37,1992,Theme from Twin Peaks-Fire Walk with Me,0.0327,97.63,0.0389,1992
0.926,569119,['Danny Elfman'],0.532,147707,0.408,0,Stage & Screen,0.944,3,0.129,-19.429,0,34,10/9/1992,Tales from the Crypt,0.0362,146.328,0.349,1992
0.244,327765,['John Barry'],0.0777,268973,0.13,0,Stage & Screen,0.896,0,0.349,-21.709,1,45,9/24/1992,Out of Africa,0.0379,173.311,0.0467,1992
0.47,327765,['John Barry'],0.157,280467,0.0944,0,Stage & Screen,0.89,5,0.0955,-20.467,1,41,9/24/1992,Born Free,0.0421,134.081,0.039,1992
