acousticness,artist_id,artist_names,danceability,duration_ms,energy,explicit,genre,instrumentalness,key,liveness,loudness,mode,popularity,release_date,song_title (censored),speechiness,tempo,valence,year
0.0012,635822,"[""L'Arc-en-Ciel""]",0.534,225200,0.974,0,Unknown,0,1,0.285,-4.143,1,50,3/31/2004,READY STEADY GO,0.049,144.019,0.87,2004
0.153,567822,['Aniceto Molina'],0.835,207800,0.651,0,Unknown,0,3,0.0531,-6.414,1,41,2/14/2004,El Garrobero,0.0766,142.382,0.97,2004
0.473,567822,['Aniceto Molina'],0.69,184973,0.71,0,Unknown,1.55E-05,0,0.067,-5.26,1,47,1/10/2004,****** Cienaguera,0.0431,108.731,0.931,2004
0.0874,77536,['Bill Medley'],0.7,289067,0.781,0,Unknown,0.00342,6,0.059,-8.255,0,71,7/2/2004,"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",0.0507,108.695,0.385,2004
0.333,786402,['Cledus T. Judd'],0.663,247600,0.752,0,Unknown,0,2,0.15,-6.352,1,37,8/24/2004,I Love Nascar,0.0516,114.937,0.686,2004
0.00884,1059293,['Creed'],0.38,239373,0.722,0,Unknown,0.00163,2,0.221,-5.766,1,45,1/1/2004,One Last Breath,0.0356,130.009,0.17,2004
0.000101,1059293,['Creed'],0.317,295800,0.875,0,Unknown,1.88E-06,2,0.109,-6.03,1,40,1/1/2004,My Sacrifice,0.0485,146.284,0.26,2004
0.0279,1059293,['Creed'],0.503,300320,0.773,0,Unknown,0.00161,10,0.116,-4.754,1,38,1/1/2004,My Own Prison,0.0396,140.502,0.284,2004
0.0037,1059293,['Creed'],0.414,278440,0.533,0,Unknown,0.000732,0,0.176,-8.445,1,48,1/1/2004,With Arms Wide Open,0.0308,138.917,0.126,2004
0.975,1535255,['John Williams'],0.225,98373,0.0417,0,Unknown,0.396,4,0.0718,-30.105,0,50,5/25/2004,Lumos! (Hedwig's Theme),0.0435,133.89,0.0889,2004
0.933,1535255,['John Williams'],0.219,152147,0.0283,0,Unknown,0.827,2,0.132,-29.83,0,48,5/25/2004,Secrets of the Castle,0.0357,57.394,0.0828,2004
0.733,1535255,['John Williams'],0.65,97227,0.146,0,Unknown,0,2,0.0482,-20.889,0,50,5/25/2004,Double Trouble,0.0343,91.993,0.68,2004
0.844,1535255,['John Williams'],0.279,730547,0.184,0,Unknown,0.22,9,0.0772,-19.447,0,45,5/25/2004,Mischief Managed!,0.0424,80.114,0.13,2004
0.992,1535255,['John Williams'],0.259,72680,0.0962,0,Unknown,0.994,2,0.0969,-33.463,1,44,5/25/2004,The Patronus Light,0.0449,66.128,0.0429,2004
0.9,1535255,['John Williams'],0.504,135360,0.197,0,Unknown,0.913,7,0.324,-21.207,1,44,5/25/2004,Aunt Marge's Waltz,0.0436,155.864,0.486,2004
0.959,1535255,['John Williams'],0.484,119467,0.0146,0,Unknown,0.3,7,0.088,-28.315,0,44,5/25/2004,Hagrid the Professor,0.0383,67.725,0.438,2004
0.954,1535255,['John Williams'],0.212,234040,0.0443,0,Unknown,0.537,9,0.0998,-24.6,0,56,5/25/2004,A Window to the Past,0.0434,106.632,0.139,2004
0.725,1535255,['John Williams'],0.136,128467,0.345,0,Unknown,0.91,6,0.175,-16.834,1,50,5/25/2004,Buckbeak's Flight,0.0399,89.783,0.158,2004
0.846,788283,['Lea Salonga'],0.283,160800,0.227,0,Unknown,2.08E-06,0,0.1,-15.793,1,67,1/1/2004,"A Whole New World - From ""Aladdin"" / Soundtrack Version",0.0366,121.419,0.128,2004
0.73,788283,['Lea Salonga'],0.385,146907,0.412,0,Unknown,5.00E-05,7,0.0977,-9.405,1,48,1/1/2004,"Lesson Number One - From ""Mulan II"" / Soundtrack Version",0.0394,126.102,0.422,2004
0.792,817911,['Leo Dan'],0.46,152800,0.615,0,Unknown,0,4,0.398,-6.052,1,38,6/29/2004,Qué Tiene la Niña,0.0295,119.99,0.627,2004
0.496,817911,['Leo Dan'],0.285,183507,0.469,0,Unknown,1.08E-05,10,0.353,-6.338,1,35,6/29/2004,Esa Pared - Bolero Ranchero,0.0307,203.42,0.749,2004
0.519,817911,['Leo Dan'],0.321,192307,0.402,0,Unknown,0,4,0.246,-6.682,1,43,6/29/2004,Mary Es Mi Amor,0.026,89.212,0.521,2004
0.475,283538,['Mark Collie'],0.463,165133,0.449,0,Unknown,0.00318,9,0.121,-9.5,0,42,1/1/2004,In Time,0.0426,113.432,0.172,2004
0.761,844255,['Peter White'],0.615,272867,0.32,0,Unknown,0.000338,1,0.206,-10.402,1,42,3/23/2004,***** In Love,0.0314,83.693,0.346,2004
0.0219,58035,['The Chiffons'],0.661,125787,0.855,0,Unknown,0,10,0.378,-6.202,0,40,10/2/2004,My Boyfriend's Back,0.194,141.931,0.441,2004
0.488,58035,['The Chiffons'],0.251,128200,0.868,0,Unknown,7.34E-06,1,0.814,-2.685,1,62,10/2/2004,One Fine Day,0.128,177.13,0.599,2004
0.487,58035,['The Chiffons'],0.558,112520,0.633,0,Unknown,0,7,0.129,-3.265,1,54,10/2/2004,He's So Fine - Remastered ****,0.0329,72.494,0.871,2004
4.45E-06,1469476,['The Haunted'],0.39,238813,0.967,0,Unknown,0.0591,9,0.608,-3.619,1,51,7/13/2004,99,0.0625,177.041,0.416,2004
0.0192,14658,['Trébol Clan'],0.672,215440,0.54,0,Unknown,0.815,9,0.19,-8.096,0,47,11/23/2004,No Le Temas a el Beat,0.063,172.013,0.208,2004
0.266,14658,['Trébol Clan'],0.739,208107,0.797,0,Unknown,0.341,6,0.15,-9.92,1,57,6/29/2004,Gata Fiera (feat. Joan),0.0458,94.994,0.836,2004
0.0812,14658,['Trébol Clan'],0.731,152107,0.741,0,Unknown,0.0245,9,0.0993,-7.978,0,61,6/29/2004,Agárrala - Remix,0.0418,96.031,0.862,2004
0.0574,14658,['Trébol Clan'],0.649,212704,0.685,0,Unknown,0.000115,9,0.584,-9.974,0,55,6/29/2004,No Le Temas A Él (feat. Héctor & *****,0.0471,172.017,0.362,2004
0.72,5056,"[""Sergio Mendes & Brasil '66""]",0.673,167493,0.402,0,Unknown,6.30E-06,5,0.23,-15.819,0,29,1/1/1967,Watch What Happens,0.0424,136.591,0.634,1967
0.628,5056,"[""Sergio Mendes & Brasil '66""]",0.689,117960,0.518,0,Unknown,0.00727,0,0.12,-14.373,1,27,1/1/1967,So Danco Samba (Jazz N Samba),0.0482,89.25,0.787,1967
0.59,5056,"[""Sergio Mendes & Brasil '66""]",0.667,127493,0.526,0,Unknown,0.00039,6,0.0872,-15.454,0,24,1/1/1967,Triste,0.0449,89.52,0.549,1967
0.714,5056,"[""Sergio Mendes & Brasil '66""]",0.487,201173,0.41,0,Unknown,0,4,0.0753,-15.787,1,20,1/1/1967,For Me,0.0377,110.687,0.585,1967
0.786,5056,"[""Sergio Mendes & Brasil '66""]",0.604,186027,0.418,0,Unknown,1.62E-06,8,0.0705,-15.844,1,40,1/1/1967,***** And Day,0.0321,128.917,0.748,1967
0.759,5056,"[""Sergio Mendes & Brasil '66""]",0.479,136520,0.414,0,Unknown,2.94E-05,8,0.118,-16.556,1,38,1/1/1967,Wave,0.0607,69.149,0.866,1967
0.82,5056,"[""Sergio Mendes & Brasil '66""]",0.533,143400,0.377,0,Unknown,3.84E-06,5,0.0789,-14.58,1,32,1/1/1967,Cinnamon And Clove,0.0461,91.073,0.784,1967
0.762,5056,"[""Sergio Mendes & Brasil '66""]",0.718,112200,0.497,0,Unknown,0.0274,0,0.122,-15.499,1,33,1/1/1967,Bim-Bom,0.0607,89.119,0.894,1967
0.59,5056,"[""Sergio Mendes & Brasil '66""]",0.634,196453,0.399,0,Unknown,0,0,0.0901,-15.215,1,31,1/1/1967,Constant Rain,0.0357,140.104,0.734,1967
0.953,796872,['Benjamin Britten'],0.0779,184693,0.0283,0,Unknown,0.835,5,0.11,-29.467,0,24,1/1/1967,"A Midsummer ******* Dream / Act ** A Midsummer ******* Dream, Act ** ""On The Ground, Sleep Sound""",0.0415,175.97,0.0288,1967
0.548,100627,['Chucho Avellanet'],0.448,123960,0.259,0,Unknown,2.41E-06,1,0.32,-11.563,1,25,12/31/1967,La Vida En Rosa,0.0325,93.9,0.543,1967
0.0444,135494,['James & Bobby Purify'],0.652,178987,0.47,0,Unknown,0.0143,10,0.583,-11.731,1,48,1/1/1967,I'm Your Puppet,0.032,94.526,0.735,1967
0.532,135494,['James & Bobby Purify'],0.516,153347,0.436,0,Unknown,0,9,0.0757,-12.38,1,37,1/1/1967,You Can't Keep a Good Man Down,0.0359,186.595,0.924,1967
0.352,135494,['James & Bobby Purify'],0.618,128240,0.705,0,Unknown,0,10,0.489,-9.034,0,29,1/1/1967,Shake a Tail Feather,0.033,153.951,0.967,1967
0.968,352992,['Jimmy Dean'],0.359,188787,0.224,0,Unknown,3.88E-06,0,0.147,-11.226,1,15,7/24/1967,Peace in the Valley,0.0298,76.116,0.168,1967
0.826,329313,['Richard Harris'],0.512,128893,0.437,0,Unknown,0,3,0.344,-15.39,1,18,10/25/1967,I Wonder What the King Is Doing ******* - King Arthur,0.199,134.039,0.594,1967
0.835,329313,['Richard Harris'],0.438,281107,0.223,0,Unknown,0,0,0.0955,-17.789,1,18,10/25/1967,Camelot and the Wedding Ceremony,0.0805,103.076,0.558,1967
0.823,329313,['Richard Harris'],0.347,255267,0.127,0,Unknown,2.67E-05,2,0.323,-17.406,1,17,10/25/1967,How to ****** a Woman - King Arthur,0.0687,79.952,0.269,1967
0.00395,80149,['The Litter'],0.311,272493,0.615,0,Unknown,0.0176,9,0.13,-7.042,1,28,1/1/1967,Codine,0.0328,152.365,0.393,1967
0.0979,80149,['The Litter'],0.32,154480,0.76,0,Unknown,1.02E-05,0,0.171,-4.447,1,30,1/1/1967,Action Woman,0.0384,134.099,0.502,1967
0.618,230478,['Walter Wanderley'],0.504,127653,0.597,0,Unknown,0.937,9,0.0881,-16.283,0,26,1/1/1967,Batucada,0.041,119.11,0.961,1967
0.95,230478,['Walter Wanderley'],0.627,197480,0.373,0,Unknown,0.161,7,0.122,-20.436,1,24,1/1/1967,Ainda Mais Lindo,0.0365,152.349,0.714,1967
0.676,230478,['Walter Wanderley'],0.633,159080,0.494,0,Unknown,4.18E-06,2,0.153,-15.221,1,19,1/1/1967,On The South Side Of Chicago,0.0314,108.856,0.843,1967
0.722,230478,['Walter Wanderley'],0.5,181187,0.448,0,Unknown,0.0165,5,0.138,-19.154,0,35,1/1/1967,O Barquinho,0.0324,80.401,0.871,1967
0.905,230478,['Walter Wanderley'],0.654,264813,0.528,0,Unknown,0.72,7,0.115,-17.36,1,34,1/1/1967,Os Grilos,0.0351,108.876,0.868,1967
0.231,5056,"[""Sergio Mendes & Brasil '66""]",0.571,158333,0.627,0,Unknown,3.16E-05,2,0.104,-17.23,1,26,1/1/1966,With A Little Help From My Friends,0.0551,137.689,0.288,1966
0.796,5056,"[""Sergio Mendes & Brasil '66""]",0.595,165600,0.523,0,Unknown,5.12E-06,11,0.0902,-13.763,0,21,1/1/1966,The Frog,0.0566,87.347,0.652,1966
0.559,5056,"[""Sergio Mendes & Brasil '66""]",0.814,180960,0.436,0,Unknown,0,0,0.0444,-14.268,1,21,1/1/1966,Look Around,0.0399,122.555,0.804,1966
0.529,5056,"[""Sergio Mendes & Brasil '66""]",0.735,146693,0.44,0,Unknown,0,10,0.191,-14.685,0,43,1/1/1966,Roda,0.11,108.688,0.917,1966
0.79,5056,"[""Sergio Mendes & Brasil '66""]",0.644,166067,0.449,0,Unknown,4.44E-05,0,0.0686,-14.863,1,39,1/1/1966,The Look Of Love,0.0326,114.929,0.669,1966
0.698,5056,"[""Sergio Mendes & Brasil '66""]",0.49,235240,0.267,0,Unknown,1.31E-05,4,0.0811,-15.494,0,38,1/1/1966,Like A Lover,0.0372,124.187,0.557,1966
0.582,5056,"[""Sergio Mendes & Brasil '66""]",0.425,270840,0.242,0,Unknown,1.62E-05,6,0.0994,-14.082,1,36,1/1/1966,So Many Stars,0.0293,98.84,0.291,1966
0.287,5056,"[""Sergio Mendes & Brasil '66""]",0.54,143093,0.481,0,Unknown,0,7,0.137,-15.564,0,32,1/1/1966,Batucada,0.033,106.644,0.953,1966
0.68,5056,"[""Sergio Mendes & Brasil '66""]",0.589,177627,0.707,0,Unknown,0.0128,2,0.428,-14.824,1,31,1/1/1966,Tristeza (Goodbye Sadness),0.0447,115.272,0.856,1966
0.595,81433,['Bonnie Owens'],0.674,167533,0.252,0,Unknown,0,0,0.193,-10.578,1,18,1/1/1966,Just Between The Two Of Us,0.0295,112.624,0.691,1966
0.452,188981,['Francis Lai'],0.441,154187,0.84,0,Unknown,0.79,5,0.157,-7.534,1,25,1966,Aujourd'hui c'est toi - ************,0.117,114.857,0.45,1966
0.692,188981,['Francis Lai'],0.447,161587,0.343,0,Unknown,0.00067,9,0.0689,-8.677,1,49,1966,Un homme et une femme - ************,0.029,130.917,0.641,1966
0.692,188981,['Francis Lai'],0.354,150747,0.375,0,Unknown,0.000182,4,0.0713,-9.476,0,40,1966,A *** à l'heure - ************,0.0357,169.758,0.613,1966
0.923,188981,['Francis Lai'],0.214,198853,0.461,0,Unknown,0.907,8,0.0947,-8.25,1,29,1966,Plus fort que nous - ************,0.0319,67.546,0.207,1966
0.558,660246,['Grandpa Jones'],0.74,177213,0.254,0,Unknown,0,11,0.403,-14.403,1,16,1966,Turn Your Radio On,0.0522,107.186,0.663,1966
0.945,1535255,['John Williams'],0.15,214333,0.153,0,Unknown,0.593,2,0.0826,-22.239,0,22,1966,"Main Theme (From ""Schindler's List"")",0.0431,97.725,0.108,1966
0.761,1535255,['John Williams'],0.114,238907,0.116,0,Unknown,0.154,11,0.18,-23.2,0,28,1966,"Touch Her Soft Lips and Part (From ""Henry V"")",0.0402,92.748,0.0686,1966
0.339,637022,['The Capitols'],0.704,166747,0.574,0,Unknown,0,10,0.0705,-14.524,0,47,1966,Cool ****,0.0611,83.955,0.763,1966
0.809,72999,['The Happenings'],0.444,142787,0.219,0,Unknown,0,10,0.241,-11.28,0,18,1966,Sealed with a Kiss,0.025,95.545,0.285,1966
0.864,72999,['The Happenings'],0.519,147227,0.422,0,Unknown,0,4,0.332,-8.732,1,47,1966,See You in September,0.0282,128.956,0.803,1966
0.712,72999,['The Happenings'],0.501,178640,0.358,0,Unknown,0,0,0.171,-12.983,1,31,1966,I Got Rhythm,0.0338,132.327,0.541,1966
0.653,72999,['The Happenings'],0.461,137707,0.46,0,Unknown,0,9,0.307,-10.181,0,26,1966,Go Away Little ****,0.0322,132.878,0.766,1966
