acousticness,artist_id,artist_names,danceability,duration_ms,energy,explicit,genre,instrumentalness,key,liveness,loudness,mode,popularity,release_date,song_title (censored),speechiness,tempo,valence,year
0.957,479028,"[""Anita O'Day""]",0.563,126893,0.0731,0,Vocal,0,2,0.179,-19.433,1,18,1/1/1957,Stella By Starlight,0.0345,75.316,0.226,1957
0.979,479028,"[""Anita O'Day""]",0.428,235267,0.0667,0,Vocal,0.00153,3,0.148,-21.515,1,15,1/1/1957,"Bewitched, Bothered And Bewildered",0.0627,74.546,0.216,1957
0.977,479028,"[""Anita O'Day""]",0.648,241000,0.0391,0,Vocal,5.59E-05,9,0.0917,-22.378,1,16,1/1/1957,I've Got The World On A String,0.0372,76.184,0.327,1957
0.749,479028,"[""Anita O'Day""]",0.49,160307,0.512,0,Vocal,8.74E-05,8,0.235,-13.115,1,13,1/1/1957,Them There Eyes,0.095,167.967,0.805,1957
0.881,479028,"[""Anita O'Day""]",0.699,220640,0.147,0,Vocal,0,7,0.128,-16.751,1,14,1/1/1957,We'll Be Together *****,0.0501,116.689,0.437,1957
0.89,479028,"[""Anita O'Day""]",0.538,175667,0.306,0,Vocal,1.18E-06,8,0.232,-14.83,1,12,1/1/1957,Old Devil Moon,0.0565,107.447,0.625,1957
0.946,479028,"[""Anita O'Day""]",0.658,223893,0.137,0,Vocal,1.22E-06,9,0.0963,-17.34,0,31,1/1/1957,You Turned The Tables On Me,0.147,114.89,0.416,1957
0.903,479028,"[""Anita O'Day""]",0.554,180040,0.256,0,Vocal,0,7,0.106,-16.729,1,36,1/1/1957,'S Wonderful / They Can't Take That Away From Me,0.0824,115.824,0.457,1957
0.973,479028,"[""Anita O'Day""]",0.453,202800,0.0583,0,Vocal,4.00E-05,9,0.0973,-20.606,1,20,1/1/1957,Tenderly,0.0419,110.347,0.133,1957
0.874,479028,"[""Anita O'Day""]",0.629,144467,0.171,0,Vocal,0,5,0.125,-16.728,1,19,1/1/1957,Taking A Chance On Love,0.0533,139.208,0.453,1957
0.815,479028,"[""Anita O'Day""]",0.711,156693,0.339,0,Vocal,3.40E-06,8,0.135,-14.337,1,19,1/1/1957,Love Me Or Leave Me,0.1,116.526,0.79,1957
0.935,253457,['Dick Haymes'],0.685,153000,0.254,0,Vocal,0.000166,0,0.124,-12.476,1,7,4/17/1957,Isn't This A Lovely Day (To Be Caught In The Rain?),0.0445,129.915,0.429,1957
0.721,487535,['Abbey Lincoln'],0.423,136360,0.27,0,Vocal,0,7,0.219,-9.9,1,39,1/1/1957,Do Nothing 'Til You Hear From Me,0.0263,74.037,0.365,1957
0.81,79016,['Billie Holiday'],0.491,378973,0.363,0,Vocal,1.09E-05,5,0.147,-14.222,1,17,1957,Fine and Mellow (with Mal Waldron Allstars),0.04,79.779,0.491,1957
0.7,79016,['Billie Holiday'],0.74,32840,0.0391,0,Vocal,9.86E-06,10,0.137,-16.51,0,12,1/1/1957,Comes Love - False Start / Take *,0.379,99.415,0.683,1957
0.537,79016,['Billie Holiday'],0.671,236693,0.23,0,Vocal,7.79E-06,0,0.101,-13.034,0,11,1/1/1957,Comes Love - Alternate Take *,0.0389,107.11,0.627,1957
0.989,79016,['Billie Holiday'],0.355,211533,0.0304,0,Vocal,0.0555,1,0.116,-20.479,1,63,1/1/1957,I'll Be Seeing You,0.0361,90.495,0.188,1957
0.989,79016,['Billie Holiday'],0.313,192867,0.0437,0,Vocal,0.148,6,0.209,-22.627,1,62,1/1/1957,Strange Fruit,0.0315,100.827,0.0625,1957
