group,Avant-Garde,Blues,Children's,Classical,Comedy/Spoken,Country,Easy Listening,Electronic,Folk,International,Jazz,Latin,New Age,Pop/Rock,R&B;,Reggae,Religious,Stage & Screen,Unknown,Vocal
1,2,13,1,0,7,50,6,11,10,6,57,18,4,165,56,16,8,4,19,32
2,0,4,0,0,0,39,0,26,1,2,3,24,0,358,42,8,8,0,16,2
3,0,5,0,9,5,1,2,6,5,5,50,3,8,25,6,4,2,11,14,11
4,1,8,0,0,3,25,1,18,4,6,11,34,0,245,70,12,8,2,14,4
5,0,0,0,0,0,4,0,3,0,0,0,0,0,43,0,0,0,0,5,0
6,0,12,0,0,1,33,0,18,7,5,21,15,2,220,73,12,7,2,14,11
7,0,3,0,1,0,29,0,18,1,1,4,19,0,278,64,19,12,0,15,0
8,1,9,1,1,7,34,2,12,15,12,69,12,6,109,33,6,10,7,15,36
9,0,13,0,0,4,39,2,9,11,4,34,18,0,198,59,17,6,1,23,12
10,2,7,0,7,9,17,6,8,27,8,73,9,9,53,8,6,3,13,17,31
11,2,3,0,6,1,0,0,2,0,5,22,0,5,5,1,0,0,7,11,4
12,0,0,0,0,3,25,0,19,0,2,2,9,0,259,16,4,6,0,19,1
13,0,0,0,0,0,7,0,6,0,2,1,2,0,130,7,1,2,0,4,1
14,0,6,0,0,0,13,0,20,1,2,8,15,1,174,62,9,4,0,16,3
15,1,4,1,0,2,18,0,8,0,5,2,21,0,189,44,8,4,0,12,1
16,2,0,0,2,0,1,0,0,0,0,4,0,2,2,0,0,0,0,4,0
17,0,5,0,0,0,17,1,9,2,2,6,10,0,152,47,3,4,1,15,2
18,0,5,1,1,3,36,3,11,8,12,31,14,1,143,68,9,3,1,15,11
19,0,2,0,0,1,11,0,3,1,1,5,6,0,33,17,7,2,0,3,0
20,0,2,0,1,0,4,0,1,2,1,3,0,0,26,4,0,0,1,4,0
