artist_id,artist_name,main_genre
74,Special Duties,Pop/Rock
335,PJ Harvey,Pop/Rock
441,P.O.D.,Pop/Rock
589,Tony Furtado,Pop/Rock
1097,ToÃ±o Rosario,Latin
1098,Soundgarden,Pop/Rock
1113,t.A.T.u.,Pop/Rock
1163,Serge Chaloff,Jazz
1190,Syreeta,R&B;
1266,Alla Rakha,International
1306,Sounds of Blackness,Unknown
1433,Pam Tillis,Country
1498,All That Remains,Pop/Rock
1589,GyÃ¶rgy KurtÃ¡g,Classical
1611,Speedy,Electronic
2130,Alfred Newman,Stage & Screen
2252,Allan Holdsworth,Pop/Rock
2273,Allan Sherman,Comedy/Spoken
2330,Sergio Mendes,Easy Listening
2411,Tangerine Dream,Electronic
2578,Tanita Tikaram,Pop/Rock
2750,Total,R&B;
2867,Pat Travers,Pop/Rock
3015,Alphonse Mouzon,Unknown
3056,P.P. Arnold,R&B;
3170,Pablo Cruise,Pop/Rock
3226,Alexisonfire,Pop/Rock
3413,Allan Jones,Vocal
3426,Tank,R&B;
3595,Andrew Lloyd Webber,Stage & Screen
3627,Pato Banton,Reggae
3669,Southern Culture on the Skids,Pop/Rock
3829,T-Bone Walker,Blues
4358,Tony Rebel,Reggae
4451,T.S.O.L.,Pop/Rock
4458,Parijat,New Age
4553,T-Connection,R&B;
4852,Selena,Latin
4955,Space,Pop/Rock
5056,Sergio Mendes & Brasil '66,Unknown
5307,Alicia Keys,R&B;
5366,Alfredo Gutierrez,Latin
5441,Pantera,Pop/Rock
5501,System of a Down,Pop/Rock
5882,T. Rex,Pop/Rock
5953,Alice Cooper,Pop/Rock
5980,Paolo Conte,Vocal
6143,Alice Coltrane,Jazz
6232,Robert Miles,Electronic
6310,Semisonic,Pop/Rock
6320,Toto,Pop/Rock
6334,Tony Bennett,Vocal
6563,Stan Levey,Jazz
6568,Alicia Myers,R&B;
6613,Ali Farka TourÃ©,International
6855,Pablo MilanÃ©s,Latin
6860,Alicia Villarreal,Latin
7031,Alison Krauss & Union Station,Country
7230,Brian May,Pop/Rock
7305,Tony Levin,Pop/Rock
7448,The Delfonics,R&B;
7689,TLC,R&B;
7729,The Trashmen,Pop/Rock
7731,Papa Roach,Pop/Rock
7920,Alice in Chains,Pop/Rock
7974,T. Graham Brown,Country
8125,Sharon Jones & the Dap-Kings,R&B;
8245,Spanky & Our Gang,Pop/Rock
8549,Sparklehorse,Pop/Rock
8570,Senses Fail,Pop/Rock
8591,Sparta,Pop/Rock
8828,Spice Girls,Pop/Rock
9084,Sparks,Pop/Rock
9218,Tracey Thorn,Pop/Rock
9437,SHeDAISY,Country
9441,Static-X,Pop/Rock
9490,Shed Seven,Pop/Rock
9680,Charles Mingus,Jazz
9787,Taproot,Pop/Rock
9970,Spineshank,Pop/Rock
10412,Spin Doctors,Pop/Rock
10538,Spandau Ballet,Pop/Rock
10982,All,Pop/Rock
11028,Frank Loesser,Stage & Screen
11041,Patrick Street,Unknown
11046,Tracy Bonham,Pop/Rock
11052,Tracy Byrd,Country
11156,American Football,Unknown
11210,Tara Kemp,R&B;
11242,Sheb Wooley,Country
11506,Palace,Pop/Rock
11608,Tab Benoit,Blues
11620,Alvin Lee,Pop/Rock
11664,American Head Charge,Pop/Rock
11707,Steely Dan,Pop/Rock
11754,Sheena Easton,Pop/Rock
11910,Stanley Jordan,Jazz
11970,Patrick Cowley,Electronic
12128,All-4-One,R&B;
12180,Trace Adkins,Country
12472,Traffic,Pop/Rock
12491,Taylor Dayne,Pop/Rock
12570,Sister Carol,Reggae
12595,American Hi-Fi,Pop/Rock
12644,Stanley Turrentine,Jazz
12654,Spinal Tap,Comedy/Spoken
12671,Sister Machine Gun,Unknown
12802,Wynona Carr,Religious
12877,Stealers Wheel,Pop/Rock
12972,TV on the Radio,Pop/Rock
13038,Stanton Moore,Jazz
13101,Patrick O'Hearn,New Age
13377,Stan Rogers,Folk
13384,Tanya Tucker,Country
13387,Shawn Colvin,Pop/Rock
13393,Tower of Power,R&B;
13508,Travis,Pop/Rock
13511,Sister Rosetta Tharpe,Religious
13583,Shawn Mullins,Pop/Rock
13755,Starcastle,Pop/Rock
14073,Tab Hunter,Pop/Rock
14201,Spirit of the West,Folk
14263,Paquito D'Rivera,Jazz
14329,Tramaine Hawkins,Religious
14651,Patsy Cline,Country
14658,TrÃ©bol Clan,Unknown
14699,Transvision Vamp,Pop/Rock
14724,Paul Brady,Pop/Rock
14757,Trans-Siberian Orchestra,Classical
14822,Sister Hazel,Pop/Rock
14931,Tasmin Archer,R&B;
14959,Taste,Pop/Rock
15158,SisqÃ³,R&B;
15318,Travis Tritt,Country
15405,Shaun Cassidy,Pop/Rock
15694,Teenage Fanclub,Pop/Rock
15856,Aloe Blacc,R&B;
16132,Sevendust,Pop/Rock
16186,Amel Larrieux,R&B;
16227,Tavares,R&B;
16235,Tony Orlando,Pop/Rock
16281,Tracy Chapman,Pop/Rock
16361,Patty Duke,Pop/Rock
16438,Television Personalities,Pop/Rock
16448,AmÃ¡lia Rodrigues,International
16574,Alpha,Electronic
16759,Tadd Dameron,Jazz
16835,The Paul Butterfield Blues Band,Blues
16925,Paul Gonsalves,Jazz
16944,Alpha Blondy,Reggae
17021,Tenacious D,Pop/Rock
17060,TrentemÃ¸ller,Electronic
17387,Sixpence None the Richer,Pop/Rock
17748,Patti LaBelle,R&B;
17877,Terence Trent D'Arby,R&B;
17882,Teresa Brewer,Vocal
17929,Patti Austin,R&B;
17937,Patti LuPone,Vocal
18137,Paul Motian,Jazz
18176,Teddy Riley,R&B;
18258,Teena Marie,R&B;
18513,Paul Hardcastle,Jazz
18691,Paradise Lost,Pop/Rock
18828,Stars,Pop/Rock
18862,Stars of the Lid,Pop/Rock
18896,Skyy,Unknown
18977,Barry Manilow,Pop/Rock
19029,Tad,Pop/Rock
19133,Ambrosia,Pop/Rock
19241,Patty Loveless,Country
19297,America,Pop/Rock
19392,...And You Will Know Us by the Trail of Dead,Pop/Rock
19435,Shelly Manne,Jazz
19701,Television,Pop/Rock
19740,Amerie,R&B;
19831,Skunk Anansie,Pop/Rock
19892,Tears for Fears,Pop/Rock
19953,Sheila E.,R&B;
20028,Sky,Pop/Rock
20050,Ten Years After,Pop/Rock
20278,Teddy Pendergrass,R&B;
20319,Shel Silverstein,Folk
20403,Tennessee Ernie Ford,Country
20729,Slightly Stoopid,Pop/Rock
20740,Sizzla,Reggae
20760,Shelby Lynne,Country
20812,Slaughter,Pop/Rock
20862,Paul Collins,Pop/Rock
20919,Amber,Electronic
20971,Terence Blanchard,Jazz
20984,Shelley Fabares,Pop/Rock
21008,Trick Pony,Country
21009,Slash,Pop/Rock
21292,Shenandoah,Country
21334,Stephanie Mills,R&B;
21492,Stephen Malkmus,Pop/Rock
21578,Sleep,Pop/Rock
21670,Tegan and Sara,Pop/Rock
21744,Stephen Stills,Pop/Rock
21747,Chuck Mangione,Jazz
22020,Tribal Tech,Jazz
22124,Slayer,Pop/Rock
22257,Patty Smyth,Pop/Rock
22348,Patty Griffin,Pop/Rock
22369,Amon Amarth,Pop/Rock
22574,Paul Mauriat,Easy Listening
22602,Ten Foot Pole,Pop/Rock
22875,Temple of the Dog,Pop/Rock
22928,Steppenwolf,Pop/Rock
22981,Terrorizer,Pop/Rock
23147,Steps Ahead,Jazz
23202,Stereo MC's,Electronic
23290,Slam Stewart,Jazz
23411,Shelly West,Country
23925,Stephen Bishop,Pop/Rock
23982,Ted Hawkins,Blues
24113,Tripping Daisy,Pop/Rock
24139,Paul Rodgers,Pop/Rock
24152,Sherbet,Pop/Rock
24309,Stephen Marley,Reggae
24329,Amon Tobin,Electronic
24568,Shirley Collins,Folk
24944,Amy Grant,Religious
25047,The Angels,Pop/Rock
25142,Tea Leaf Green,Pop/Rock
25236,Skindred,Pop/Rock
25394,Trio,Pop/Rock
25462,Tricky,Electronic
25475,Shirley Murdock,Unknown
25778,Slave,R&B;
25857,Shep Pettibone,Electronic
25899,Technotronic,Electronic
25965,Steve Cole,Jazz
26023,The Apples in Stereo,Pop/Rock
26161,Terrance Simien,International
26164,Sleater-Kinney,Pop/Rock
26193,Andrew Bird,Pop/Rock
26350,Wolfgang Amadeus Mozart,Classical
26367,Skid Row,Pop/Rock
26432,Skids,Unknown
26510,Terry Allen,Country
26520,Stereolab,Pop/Rock
26637,Skin Yard,Pop/Rock
26825,Paula Cole,Pop/Rock
26952,Smokie Norful,Religious
27102,Terry Stafford,Pop/Rock
27136,Paulina Rubio,Latin
27221,Sleeping at Last,Pop/Rock
27916,Terry Callier,R&B;
28002,Shinedown,Pop/Rock
28015,Paul Quinichette,Jazz
28166,Slim Harpo,Blues
28316,Slim Smith,Reggae
28432,Sneaker Pimps,Pop/Rock
28619,Steve Arrington,R&B;
28692,Terry Gibbs,Jazz
28772,The 5th Dimension,Pop/Rock
28863,The 88,Pop/Rock
28918,Terry Jacks,Pop/Rock
29067,The Action,Pop/Rock
29084,The Adicts,Unknown
29334,Slim Whitman,Country
29365,Trixter,Pop/Rock
29600,Smash Mouth,Pop/Rock
29604,Shocking Blue,Pop/Rock
29609,Paul Weston,Jazz
29791,Paul Weller,Pop/Rock
29808,Tesla,Pop/Rock
29867,Shirley Bassey,Vocal
29884,Paul McCartney,Pop/Rock
29909,Terry Reid,Pop/Rock
29978,Sloan,Pop/Rock
30250,AndrÃ© Previn,Classical
30431,Slowdive,Pop/Rock
30664,Tex Beneke,Jazz
30925,Shirley Horn,Jazz
30928,Tevin Campbell,R&B;
31022,Jim Morrison,Pop/Rock
31067,Solomon Burke,R&B;
31158,Steve Jablonsky,Stage & Screen
31263,AndraÃ© Crouch,Religious
31274,Alan Parsons,Pop/Rock
31324,Sodom,Pop/Rock
31380,Paula Abdul,Pop/Rock
31441,Paul Winter,New Age
31442,Anastacia,Pop/Rock
31556,Supergrass,Pop/Rock
31606,Smog,Pop/Rock
31617,Simian,Pop/Rock
31685,Paul Simon,Pop/Rock
31697,Andy Gibb,Pop/Rock
31765,Snot,Pop/Rock
31823,Smoke City,Electronic
31969,The Be Good Tanyas,Pop/Rock
31971,The Beat,Pop/Rock
32045,Software,New Age
32071,Shirley Caesar,Religious
32193,Tex Williams,Country
32301,Sophie Ellis-Bextor,Pop/Rock
32333,Susan Ashton,Religious
32366,Steve Goodman,Folk
32401,Triumph,Pop/Rock
32409,Paul Thorn,Pop/Rock
32433,Texas,Pop/Rock
32807,Son Seals,Blues
32836,Sly Dunbar,Unknown
32971,The Beautiful South,Pop/Rock
33161,Sly & the Family Stone,R&B;
33316,Andy Kim,Pop/Rock
33481,Andy Griggs,Country
33560,Suzi Quatro,Pop/Rock
33580,Super Cat,Reggae
33666,Supertramp,Pop/Rock
33995,Siedah Garrett,R&B;
34094,The Archies,Pop/Rock
34172,Superchunk,Pop/Rock
34249,Steve Earle,Country
34382,Paul Young,Pop/Rock
34402,Steve Green,Unknown
34617,Andrew Hill,Jazz
34867,The Belmonts,R&B;
34880,Paw,Pop/Rock
34899,Soul Coughing,Pop/Rock
34988,Swans,Pop/Rock
35021,Smokey Robinson & the Miracles,R&B;
35076,Soul II Soul,R&B;
35338,Peabo Bryson,R&B;
35464,Maria Muldaur,Pop/Rock
35587,Sick of It All,Pop/Rock
35697,Peaches & Herb,R&B;
35719,Steve Harley,Pop/Rock
35864,Shriekback,Pop/Rock
36106,Steve Miller Band,Pop/Rock
36310,Shonen Knife,Pop/Rock
36312,Shooter Jennings,Country
36327,Silk,R&B;
36402,Sonny Bono,Pop/Rock
36468,Smoking Popes,Pop/Rock
36521,Smashing Pumpkins,Pop/Rock
36537,Steve Howe,Pop/Rock
36645,Steve Kuhn,Jazz
36816,Paulinho da Viola,Unknown
36849,Sonny James,Country
36934,Sonny Clark,Jazz
36975,The Babys,Pop/Rock
36987,Sonny Sharrock,Jazz
37026,The Bellamy Brothers,Country
37197,Steve Tyrell,Vocal
37288,Steve Reid,Unknown
37658,Steve Reich,Classical
37730,Pearl Jam,Pop/Rock
37787,Sweetwater,Unknown
37794,Silvio RodrÃ­guez,Latin
37865,Andy MontaÃ±ez,Latin
37931,The Alarm,Pop/Rock
38061,The Bats,Pop/Rock
38100,Pearl Bailey,Vocal
38291,Sneaky Pete Kleinow,Pop/Rock
38302,Social Distortion,Pop/Rock
38321,Snow Patrol,Pop/Rock
38466,Andy Williams,Vocal
38490,The Band,Pop/Rock
38579,Soft Cell,Pop/Rock
38805,Angie Stone,R&B;
38936,Simon & Garfunkel,Pop/Rock
38977,The Associates,Pop/Rock
39013,Alkaline Trio,Pop/Rock
39258,Paul Westerberg,Pop/Rock
39342,The Bluetones,Pop/Rock
39406,Soilwork,Pop/Rock
39637,Survivor,Pop/Rock
39656,Sonny Rollins,Jazz
39661,Sonny Terry,Blues
39828,Surface,R&B;
40124,The Ataris,Pop/Rock
40225,Gladys Knight,R&B;
40230,Songs: Ohia,Pop/Rock
40294,Swell,Pop/Rock
40501,Steve Roach,New Age
40648,The Black Dahlia Murder,Pop/Rock
40695,Mary Martin,Stage & Screen
40743,Audioslave,Pop/Rock
40922,The Sound,Pop/Rock
41283,Andrew W.K.,Pop/Rock
41398,Conlon Nancarrow,Unknown
41420,Pebbles,R&B;
41431,Angelo Badalamenti,Stage & Screen
41462,Solange,R&B;
41702,Sy Oliver,Unknown
41874,The Beach Boys,Pop/Rock
41899,The Blues Project,Pop/Rock
41976,Audiovent,Pop/Rock
42234,Steven Halpern,New Age
42589,The Beta Band,Pop/Rock
42993,Sonny & Cher,Pop/Rock
43348,Angel,Pop/Rock
43444,Steve Martin,Comedy/Spoken
43499,The Andrews Sisters,Vocal
43520,Susan Tedeschi,Blues
43572,The Avalanches,Electronic
43714,Bee Gees,Pop/Rock
44068,Steven Curtis Chapman,Religious
44290,Sonny Stitt,Jazz
44663,Angela McCluskey,Pop/Rock
44703,Sweet Honey in the Rock,Religious
44751,Steve Wariner,Country
44764,Blondie,Pop/Rock
44776,Beth Hart,Pop/Rock
44906,The Birthday Party,Pop/Rock
44994,Sonny Landreth,Blues
44998,Angela Carrasco,Latin
45057,The Louvin Brothers,Country
45077,Leo Kottke,Folk
45287,Sweetback,R&B;
45313,Steve Winwood,Pop/Rock
45379,Branford Marsalis,Jazz
45475,Steve Vai,Pop/Rock
45560,The Mars Volta,Pop/Rock
45745,Mike Marshall,International
45941,Sutton Foster,Stage & Screen
45972,Swing Out Sister,Unknown
46120,The Amboy Dukes,Pop/Rock
46184,The Ames Brothers,Vocal
46214,Aunt Molly Jackson,Country
46345,Suzanne Ciani,New Age
46381,Berlin,Pop/Rock
46429,Soulive,Jazz
46460,The Big Bopper,Pop/Rock
46527,Blonde Redhead,Pop/Rock
46626,Beth Nielsen Chapman,Country
46699,The Everly Brothers,Pop/Rock
46727,Edwin Starr,R&B;
46784,Syl Johnson,R&B;
46794,Ani DiFranco,Pop/Rock
46814,Blake Shelton,Country
46861,Ray Charles,R&B;
46925,"Blood, Sweat & Tears",Pop/Rock
47033,The Blue Nile,Pop/Rock
47134,Susannah McCorkle,Vocal
47246,Steven Wright,Comedy/Spoken
47401,Bernard "Pretty" Purdie,Jazz
47421,The Blues Brothers,R&B;
47789,BoDeans,Pop/Rock
48061,Silverstein,Pop/Rock
48123,Marine Girls,Pop/Rock
48126,The Big Wu,Pop/Rock
48168,Sweethearts of the Rodeo,Unknown
48265,Silverchair,Pop/Rock
48507,Sweet Sensation,Unknown
48566,The Black Crowes,Pop/Rock
48587,Blancmange,Pop/Rock
48622,The Marcels,R&B;
48757,Switch,R&B;
48806,Soulwax,Electronic
48811,Atreyu,Pop/Rock
48816,Bernadette Peters,Vocal
48903,Blu Cantrell,R&B;
48908,Betty Carter,Vocal
49026,Switchfoot,Pop/Rock
49062,Simple Plan,Pop/Rock
49163,Susumu Yokota,Electronic
49180,Betty Harris,R&B;
49367,The Blackbyrds,R&B;
